@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L111","3","0","52","0","0","0","1","false"
"L112","1","0","1","0","0","0","1","false"
"L113","4","0","28","0","0","0","1","false"
"L114","1","0","26","0","0","0","1","false"
"L115","1","0","24","0","0","0","1","false"
"L278","19","0","147","2","2","0","6","false"
"L279","1","0","9","0","0","0","1","false"
"L280","13","0","60","0","0","0","1","false"
"L281","1","0","22","0","0","0","1","false"
"L282","4","0","66","0","0","0","9","false"
"L283","7","0","67","0","0","0","7","false"
"L284","1","0","23","0","0","0","1","false"
"L285","1","0","1","0","0","0","1","false"
"L286","1","0","4","0","0","0","1","false"
"L287","1","0","5","0","0","0","1","false"
"L288","9","0","81","0","0","0","1","false"
"L289","1","0","36","0","0","0","1","false"
"L290","1","0","7","0","0","0","1","false"
"L291","9","0","100","0","0","0","1","false"
"L292","25","0","173","1","4","1","7","false"
"L1239","32","0","235","0","0","0","2","false"
"L1240","1","0","1","0","0","0","1","false"
"L1241","1","0","11","0","0","0","1","false"
"L1242","1","0","11","2","20","0","51","false"
"L1461","1","0","1","0","0","0","1","false"
"L1462","7","0","92","0","0","0","1","false"
"L1463","13","0","124","0","0","0","2","false"
"L2590","1","0","9","0","0","0","1","false"
"L2591","1","0","9","1","4","0","5","false"
"L2592","21","0","223","0","0","0","20","true"
"L2593","2","0","23","0","0","0","12","false"
"L2594","1","0","9","0","0","0","2","false"
"L2595","1","0","9","0","0","0","1","false"
"L2596","13","0","81","0","0","0","2","false"
"L2597","1","0","10","0","0","0","1","false"
"L2598","1","0","1","0","0","0","1","false"
"L2599","1","0","7","0","0","0","1","false"
"L2600","1","0","16","0","0","0","1","false"
"L2988","6","0","65","0","0","0","17","false"
"L4045","3","0","36","0","0","0","2","false"
"L4046","3","0","32","0","0","0","1","false"
"L4047","12","0","47","0","0","0","8","false"
"L4048","1","0","8","0","0","0","4","false"
"L4049","2","0","15","0","0","0","6","true"
"L4050","1","0","6","0","0","0","1","false"
"L4051","1","0","10","0","0","0","1","false"
"L4052","6","0","73","0","0","0","7","false"
"L5097","1","0","32","0","0","0","23","false"
"L5098","1","0","1","0","0","0","2","false"
"L5154","2","0","33","0","0","0","1","false"
"L5155","5","0","70","0","0","0","3","true"
"L5156","1","0","23","0","0","0","5","false"
"L5157","1","0","7","0","0","0","1","false"
"L5158","3","0","43","0","0","0","1","false"
"L5159","1","0","12","0","0","0","1","false"
"L5160","2","0","31","0","0","0","1","false"
"L5161","1","0","13","0","0","0","1","false"
"L5162","1","0","17","0","0","0","1","false"
"L5382","1","0","21","0","0","0","8","false"
"L5383","1","0","4","0","0","0","3","false"
"L5384","12","0","114","0","0","0","20","false"
"L5385","5","0","87","0","0","0","18","false"
"L5386","1","0","1","0","0","0","1","false"
"L5387","2","0","56","0","0","0","24","false"
"L5388","1","0","61","1","4","0","13","false"
"L5389","1","0","9","0","0","0","7","false"
"L5390","1","0","12","0","0","0","4","false"
"L5852","1","0","7","0","0","0","2","false"
"L5853","20","0","205","2","20","0","52","true"
"L5854","1","0","7","0","0","0","1","false"
"L5855","1","0","1","0","0","0","3","false"
"L5856","6","0","94","1","4","0","35","true"
"L5857","17","0","171","1","20","0","31","true"
"L5858","3","0","63","1","4","0","50","false"
"L2991","15","0","92","1","20","0","16","false"
"L2992","1","0","7","1","20","0","7","false"
"L3082","1","0","7","0","0","0","3","false"
"L3083","12","0","100","0","0","0","39","false"
"L3084","8","0","118","1","4","0","27","false"
"L3446","3","0","23","0","0","0","3","false"
"L3447","1","0","32","0","0","0","7","false"
"L3448","2","0","41","0","0","0","10","false"
"L3545","1","0","8","0","0","0","2","false"
"L3558","1","0","6","0","0","0","1","false"
"L3559","1","0","6","0","0","0","1","false"
"L3560","9","0","71","0","0","0","2","false"
"L3561","1","0","7","0","0","0","1","false"
"L3562","1","0","5","0","0","0","1","false"
"L3563","1","0","25","0","0","0","6","false"
"L3564","14","0","165","0","0","0","32","true"
"L3565","1","0","7","0","0","0","1","false"
"L4102","4","0","43","0","0","0","4","false"
"L4103","4","0","36","0","0","0","3","false"
"L4104","2","0","12","0","0","0","2","false"
"L4105","1","0","18","0","0","0","1","false"
"L4106","2","0","15","0","0","0","2","false"
"L4107","1","0","10","0","0","0","4","false"
"L4108","1","0","9","0","0","0","2","false"
"L4109","3","0","20","0","0","0","2","false"
"L4266","1","0","26","0","0","0","4","false"
"L4267","1","0","20","0","0","0","4","false"
"L4268","5","0","54","0","0","0","6","false"
"L4269","1","0","20","0","0","0","4","false"
"L4270","1","0","20","0","0","0","4","false"
"L4271","8","0","34","0","0","0","4","false"
"L4436","1","0","19","0","0","0","6","false"
"L4437","2","0","26","0","0","0","3","false"
"L4438","1","0","1","0","0","0","1","false"
"L4439","1","0","20","0","0","0","1","false"
"L4480","9","0","65","0","0","0","2","false"
