"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L111","ActiveTestSuite.java","src/main/java/junit/extensions/ActiveTestSuite.java","L110","3","0","52","0","0","0","1","0"
"L112","package-info.java","src/main/java/junit/extensions/package-info.java","L110","1","0","1","0","0","0","1","0"
"L113","RepeatedTest.java","src/main/java/junit/extensions/RepeatedTest.java","L110","4","0","28","0","0","0","1","0"
"L114","TestDecorator.java","src/main/java/junit/extensions/TestDecorator.java","L110","1","0","26","0","0","0","1","0"
"L115","TestSetup.java","src/main/java/junit/extensions/TestSetup.java","L110","1","0","24","0","0","0","1","0"
"L278","Assert.java","src/main/java/junit/framework/Assert.java","L277","22","0","151","3","107","0","12","0"
"L279","AssertionFailedError.java","src/main/java/junit/framework/AssertionFailedError.java","L277","1","0","9","0","0","0","1","0"
"L280","ComparisonCompactor.java","src/main/java/junit/framework/ComparisonCompactor.java","L277","13","0","60","0","0","0","1","0"
"L281","ComparisonFailure.java","src/main/java/junit/framework/ComparisonFailure.java","L277","1","0","22","0","0","0","1","0"
"L282","JUnit4TestAdapter.java","src/main/java/junit/framework/JUnit4TestAdapter.java","L277","4","0","66","1","20","0","10","0"
"L283","JUnit4TestAdapterCache.java","src/main/java/junit/framework/JUnit4TestAdapterCache.java","L277","7","0","67","0","0","0","7","0"
"L284","JUnit4TestCaseFacade.java","src/main/java/junit/framework/JUnit4TestCaseFacade.java","L277","1","0","23","0","0","0","1","0"
"L285","package-info.java","src/main/java/junit/framework/package-info.java","L277","1","0","1","0","0","0","1","0"
"L286","Protectable.java","src/main/java/junit/framework/Protectable.java","L277","1","0","4","0","0","0","1","0"
"L287","Test.java","src/main/java/junit/framework/Test.java","L277","1","0","5","0","0","0","1","0"
"L288","TestCase.java","src/main/java/junit/framework/TestCase.java","L277","9","0","81","0","0","0","1","0"
"L289","TestFailure.java","src/main/java/junit/framework/TestFailure.java","L277","1","0","36","0","0","0","1","0"
"L290","TestListener.java","src/main/java/junit/framework/TestListener.java","L277","1","0","7","0","0","0","1","0"
"L291","TestResult.java","src/main/java/junit/framework/TestResult.java","L277","9","0","100","0","0","0","1","0"
"L292","TestSuite.java","src/main/java/junit/framework/TestSuite.java","L277","25","0","173","2","20","1","8","0"
"L1240","BaseTestRunner.java","src/main/java/junit/runner/BaseTestRunner.java","L1239","32","0","235","0","0","0","2","0"
"L1241","package-info.java","src/main/java/junit/runner/package-info.java","L1239","1","0","1","0","0","0","1","0"
"L1242","TestRunListener.java","src/main/java/junit/runner/TestRunListener.java","L1239","1","0","11","0","0","0","1","0"
"L1243","Version.java","src/main/java/junit/runner/Version.java","L1239","1","0","11","3","107","0","61","1"
"L1462","package-info.java","src/main/java/junit/textui/package-info.java","L1461","1","0","1","0","0","0","1","0"
"L1463","ResultPrinter.java","src/main/java/junit/textui/ResultPrinter.java","L1461","7","0","92","0","0","0","1","0"
"L1464","TestRunner.java","src/main/java/junit/textui/TestRunner.java","L1461","13","0","124","0","0","0","2","0"
"L2594","After.java","src/main/java/org/junit/After.java","L2593","1","0","9","0","0","0","1","0"
"L2595","AfterClass.java","src/main/java/org/junit/AfterClass.java","L2593","1","0","9","1","4","0","5","0"
"L2596","Assert.java","src/main/java/org/junit/Assert.java","L2593","21","0","225","4","134","3","29","1"
"L2597","Assume.java","src/main/java/org/junit/Assume.java","L2593","2","0","23","0","0","0","12","0"
"L2598","Before.java","src/main/java/org/junit/Before.java","L2593","1","0","9","0","0","0","2","0"
"L2599","BeforeClass.java","src/main/java/org/junit/BeforeClass.java","L2593","1","0","9","0","0","0","1","0"
"L2600","ClassRule.java","src/main/java/org/junit/ClassRule.java","L2593","1","0","9","2","134","0","21","0"
"L2601","ComparisonFailure.java","src/main/java/org/junit/ComparisonFailure.java","L2593","13","0","81","0","0","0","2","0"
"L2602","Ignore.java","src/main/java/org/junit/Ignore.java","L2593","1","0","10","0","0","0","1","0"
"L2603","package-info.java","src/main/java/org/junit/package-info.java","L2593","1","0","1","0","0","0","1","0"
"L2604","Rule.java","src/main/java/org/junit/Rule.java","L2593","1","0","9","1","107","0","11","0"
"L2605","Test.java","src/main/java/org/junit/Test.java","L2593","1","0","16","0","0","0","1","0"
"L2997","ParallelComputer.java","src/main/java/org/junit/experimental/ParallelComputer.java","L2996","6","0","65","0","0","0","17","0"
"L4074","ArrayComparisonFailure.java","src/main/java/org/junit/internal/ArrayComparisonFailure.java","L4073","3","0","36","0","0","0","2","0"
"L4075","AssumptionViolatedException.java","src/main/java/org/junit/internal/AssumptionViolatedException.java","L4073","3","0","32","0","0","0","1","0"
"L4076","ComparisonCriteria.java","src/main/java/org/junit/internal/ComparisonCriteria.java","L4073","12","0","47","1","20","0","9","0"
"L4077","ExactComparisonCriteria.java","src/main/java/org/junit/internal/ExactComparisonCriteria.java","L4073","1","0","8","0","0","0","4","0"
"L4078","InexactComparisonCriteria.java","src/main/java/org/junit/internal/InexactComparisonCriteria.java","L4073","2","0","15","2","14","1","8","1"
"L4079","JUnitSystem.java","src/main/java/org/junit/internal/JUnitSystem.java","L4073","1","0","6","0","0","0","1","0"
"L4080","RealSystem.java","src/main/java/org/junit/internal/RealSystem.java","L4073","1","0","10","0","0","0","1","0"
"L4081","TextListener.java","src/main/java/org/junit/internal/TextListener.java","L4073","6","0","73","0","0","0","7","0"
"L5209","JUnitMatchers.java","src/main/java/org/junit/matchers/JUnitMatchers.java","L5208","1","0","32","0","0","0","24","0"
"L5210","package-info.java","src/main/java/org/junit/matchers/package-info.java","L5208","1","0","1","1","20","0","3","0"
"L5265","ErrorCollector.java","src/main/java/org/junit/rules/ErrorCollector.java","L5264","2","0","33","1","107","0","3","0"
"L5266","ExpectedException.java","src/main/java/org/junit/rules/ExpectedException.java","L5264","5","0","70","1","107","0","11","1"
"L5267","ExternalResource.java","src/main/java/org/junit/rules/ExternalResource.java","L5264","1","0","25","2","107","0","16","0"
"L5268","MethodRule.java","src/main/java/org/junit/rules/MethodRule.java","L5264","1","0","8","0","0","0","2","0"
"L5269","RunRules.java","src/main/java/org/junit/rules/RunRules.java","L5264","2","0","19","1","107","0","1","0"
"L5270","TemporaryFolder.java","src/main/java/org/junit/rules/TemporaryFolder.java","L5264","3","0","43","2","3","0","5","1"
"L5271","TestName.java","src/main/java/org/junit/rules/TestName.java","L5264","1","0","12","1","107","0","4","0"
"L5272","TestRule.java","src/main/java/org/junit/rules/TestRule.java","L5264","1","0","6","1","107","0","12","0"
"L5273","TestWatcher.java","src/main/java/org/junit/rules/TestWatcher.java","L5264","2","0","30","1","107","0","7","1"
"L5274","TestWatchman.java","src/main/java/org/junit/rules/TestWatchman.java","L5264","2","0","32","0","0","0","3","1"
"L5275","Timeout.java","src/main/java/org/junit/rules/Timeout.java","L5264","1","0","13","1","107","0","7","0"
"L5276","Verifier.java","src/main/java/org/junit/rules/Verifier.java","L5264","1","0","16","1","107","0","7","0"
"L5542","Computer.java","src/main/java/org/junit/runner/Computer.java","L5541","1","0","21","0","0","0","8","0"
"L5543","Describable.java","src/main/java/org/junit/runner/Describable.java","L5541","1","0","4","0","0","0","3","0"
"L5544","Description.java","src/main/java/org/junit/runner/Description.java","L5541","11","0","113","1","3","0","23","1"
"L5545","JUnitCore.java","src/main/java/org/junit/runner/JUnitCore.java","L5541","5","0","87","0","0","0","18","0"
"L5546","package-info.java","src/main/java/org/junit/runner/package-info.java","L5541","1","0","1","0","0","0","1","0"
"L5547","Request.java","src/main/java/org/junit/runner/Request.java","L5541","2","0","56","0","0","0","24","0"
"L5548","Result.java","src/main/java/org/junit/runner/Result.java","L5541","1","0","61","4","3","0","18","1"
"L5549","Runner.java","src/main/java/org/junit/runner/Runner.java","L5541","1","0","9","0","0","0","7","0"
"L5550","RunWith.java","src/main/java/org/junit/runner/RunWith.java","L5541","1","0","12","0","0","0","4","0"
"L6023","AllTests.java","src/main/java/org/junit/runners/AllTests.java","L6022","1","0","7","0","0","0","2","0"
"L6024","BlockJUnit4ClassRunner.java","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","L6022","17","0","199","5","134","1","82","2"
"L6025","JUnit4.java","src/main/java/org/junit/runners/JUnit4.java","L6022","1","0","7","0","0","0","1","0"
"L6026","package-info.java","src/main/java/org/junit/runners/package-info.java","L6022","1","0","1","0","0","0","3","0"
"L6027","Parameterized.java","src/main/java/org/junit/runners/Parameterized.java","L6022","6","0","94","3","2","2","40","2"
"L6028","ParentRunner.java","src/main/java/org/junit/runners/ParentRunner.java","L6022","19","0","204","3","134","4","57","1"
"L6029","Suite.java","src/main/java/org/junit/runners/Suite.java","L6022","3","0","63","1","4","0","50","0"
"L3000","Categories.java","src/main/java/org/junit/experimental/categories/Categories.java","L2999","23","0","117","2","107","0","24","0"
"L3001","Category.java","src/main/java/org/junit/experimental/categories/Category.java","L2999","1","0","7","2","107","0","11","0"
"L3110","CouldNotReadCoreException.java","src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java","L3109","1","0","7","0","0","0","3","0"
"L3111","MaxCore.java","src/main/java/org/junit/experimental/max/MaxCore.java","L3109","12","0","100","0","0","0","39","0"
"L3112","MaxHistory.java","src/main/java/org/junit/experimental/max/MaxHistory.java","L3109","8","0","118","1","4","0","27","0"
"L3474","FailureList.java","src/main/java/org/junit/experimental/results/FailureList.java","L3473","3","0","23","0","0","0","3","0"
"L3475","PrintableResult.java","src/main/java/org/junit/experimental/results/PrintableResult.java","L3473","1","0","33","0","0","0","8","0"
"L3476","ResultMatchers.java","src/main/java/org/junit/experimental/results/ResultMatchers.java","L3473","2","0","41","0","0","0","10","0"
"L3574","Enclosed.java","src/main/java/org/junit/experimental/runners/Enclosed.java","L3573","1","0","8","0","0","0","2","0"
"L3587","DataPoint.java","src/main/java/org/junit/experimental/theories/DataPoint.java","L3586","1","0","6","0","0","0","1","1"
"L3588","DataPoints.java","src/main/java/org/junit/experimental/theories/DataPoints.java","L3586","1","0","6","0","0","0","1","1"
"L3589","ParameterSignature.java","src/main/java/org/junit/experimental/theories/ParameterSignature.java","L3586","9","0","71","0","0","0","2","0"
"L3590","ParametersSuppliedBy.java","src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java","L3586","1","0","7","0","0","0","1","0"
"L3591","ParameterSupplier.java","src/main/java/org/junit/experimental/theories/ParameterSupplier.java","L3586","1","0","5","0","0","0","1","1"
"L3592","PotentialAssignment.java","src/main/java/org/junit/experimental/theories/PotentialAssignment.java","L3586","1","0","25","0","0","0","6","1"
"L3593","Theories.java","src/main/java/org/junit/experimental/theories/Theories.java","L3586","14","0","165","1","20","0","33","2"
"L3594","Theory.java","src/main/java/org/junit/experimental/theories/Theory.java","L3586","1","0","7","0","0","0","1","0"
"L4131","AllDefaultPossibilitiesBuilder.java","src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java","L4130","4","0","43","0","0","0","4","0"
"L4132","AnnotatedBuilder.java","src/main/java/org/junit/internal/builders/AnnotatedBuilder.java","L4130","4","0","36","0","0","0","3","0"
"L4133","IgnoredBuilder.java","src/main/java/org/junit/internal/builders/IgnoredBuilder.java","L4130","2","0","12","0","0","0","2","0"
"L4134","IgnoredClassRunner.java","src/main/java/org/junit/internal/builders/IgnoredClassRunner.java","L4130","1","0","18","0","0","0","1","0"
"L4135","JUnit3Builder.java","src/main/java/org/junit/internal/builders/JUnit3Builder.java","L4130","2","0","15","0","0","0","2","0"
"L4136","JUnit4Builder.java","src/main/java/org/junit/internal/builders/JUnit4Builder.java","L4130","1","0","10","0","0","0","4","0"
"L4137","NullBuilder.java","src/main/java/org/junit/internal/builders/NullBuilder.java","L4130","1","0","9","0","0","0","2","0"
"L4138","SuiteMethodBuilder.java","src/main/java/org/junit/internal/builders/SuiteMethodBuilder.java","L4130","3","0","20","0","0","0","2","0"
"L4293","CombinableMatcher.java","src/main/java/org/junit/internal/matchers/CombinableMatcher.java","L4292","1","0","26","0","0","0","4","0"
"L4294","Each.java","src/main/java/org/junit/internal/matchers/Each.java","L4292","1","0","20","0","0","0","4","0"
"L4295","IsCollectionContaining.java","src/main/java/org/junit/internal/matchers/IsCollectionContaining.java","L4292","5","0","54","0","0","0","6","0"
"L4296","StringContains.java","src/main/java/org/junit/internal/matchers/StringContains.java","L4292","1","0","20","0","0","0","4","0"
"L4297","SubstringMatcher.java","src/main/java/org/junit/internal/matchers/SubstringMatcher.java","L4292","1","0","20","0","0","0","4","0"
"L4298","TypeSafeMatcher.java","src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java","L4292","8","0","34","0","0","0","4","0"
"L4463","ClassRequest.java","src/main/java/org/junit/internal/requests/ClassRequest.java","L4462","1","0","19","0","0","0","6","0"
"L4464","FilterRequest.java","src/main/java/org/junit/internal/requests/FilterRequest.java","L4462","2","0","26","0","0","0","3","0"
"L4465","package-info.java","src/main/java/org/junit/internal/requests/package-info.java","L4462","1","0","1","0","0","0","1","0"
"L4466","SortingRequest.java","src/main/java/org/junit/internal/requests/SortingRequest.java","L4462","1","0","20","0","0","0","1","0"
"L4507","ClassRoadie.java","src/main/java/org/junit/internal/runners/ClassRoadie.java","L4506","9","0","65","0","0","0","2","0"
"L4508","ErrorReportingRunner.java","src/main/java/org/junit/internal/runners/ErrorReportingRunner.java","L4506","6","0","50","0","0","0","15","1"
"L4509","FailedBefore.java","src/main/java/org/junit/internal/runners/FailedBefore.java","L4506","1","0","6","0","0","0","2","0"
"L4510","InitializationError.java","src/main/java/org/junit/internal/runners/InitializationError.java","L4506","1","0","20","0","0","0","3","0"
"L4511","JUnit38ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java","L4506","15","0","134","1","4","0","16","0"
"L4512","JUnit4ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java","L4506","8","0","117","0","0","0","13","0"
"L4513","MethodRoadie.java","src/main/java/org/junit/internal/runners/MethodRoadie.java","L4506","21","0","138","0","0","0","2","0"
"L4514","MethodValidator.java","src/main/java/org/junit/internal/runners/MethodValidator.java","L4506","11","0","72","0","0","0","2","0"
"L4515","package-info.java","src/main/java/org/junit/internal/runners/package-info.java","L4506","1","0","1","0","0","0","1","0"
"L4516","SuiteMethod.java","src/main/java/org/junit/internal/runners/SuiteMethod.java","L4506","3","0","24","0","0","0","2","0"
"L4517","TestClass.java","src/main/java/org/junit/internal/runners/TestClass.java","L4506","14","0","81","0","0","0","2","0"
"L4518","TestMethod.java","src/main/java/org/junit/internal/runners/TestMethod.java","L4506","4","0","51","0","0","0","2","0"
"L5712","Filter.java","src/main/java/org/junit/runner/manipulation/Filter.java","L5711","8","0","64","1","107","1","17","0"
"L5713","Filterable.java","src/main/java/org/junit/runner/manipulation/Filterable.java","L5711","1","0","4","0","0","0","1","0"
"L5714","NoTestsRemainException.java","src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java","L5711","1","0","4","0","0","0","1","0"
"L5715","package-info.java","src/main/java/org/junit/runner/manipulation/package-info.java","L5711","1","0","1","0","0","0","1","0"
"L5716","Sortable.java","src/main/java/org/junit/runner/manipulation/Sortable.java","L5711","1","0","4","0","0","0","1","0"
"L5717","Sorter.java","src/main/java/org/junit/runner/manipulation/Sorter.java","L5711","2","0","22","0","0","0","6","0"
"L5783","Failure.java","src/main/java/org/junit/runner/notification/Failure.java","L5782","1","0","37","1","3","0","5","0"
"L5784","package-info.java","src/main/java/org/junit/runner/notification/package-info.java","L5782","1","0","1","0","0","0","1","0"
"L5785","RunListener.java","src/main/java/org/junit/runner/notification/RunListener.java","L5782","1","0","20","0","0","0","10","0"
"L5786","RunNotifier.java","src/main/java/org/junit/runner/notification/RunNotifier.java","L5782","4","0","97","2","20","0","15","1"
"L5787","StoppedByUserException.java","src/main/java/org/junit/runner/notification/StoppedByUserException.java","L5782","1","0","4","0","0","0","1","0"
"L6206","FrameworkField.java","src/main/java/org/junit/runners/model/FrameworkField.java","L6205","1","0","39","2","134","0","13","0"
"L6207","FrameworkMember.java","src/main/java/org/junit/runners/model/FrameworkMember.java","L6205","3","0","13","0","0","0","4","0"
"L6208","FrameworkMethod.java","src/main/java/org/junit/runners/model/FrameworkMethod.java","L6205","13","0","80","1","5","0","14","0"
"L6209","InitializationError.java","src/main/java/org/junit/runners/model/InitializationError.java","L6205","1","0","19","2","107","0","8","0"
"L6210","MultipleFailureException.java","src/main/java/org/junit/runners/model/MultipleFailureException.java","L6205","4","0","31","1","107","0","4","0"
"L6211","RunnerBuilder.java","src/main/java/org/junit/runners/model/RunnerBuilder.java","L6205","5","0","48","1","20","0","4","0"
