"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L113","mcMMO.java","src/main/java/com/gmail/nossr50/mcMMO.java","L112","34","0","323","1","6","132","270","0"
"L116","ChatAPI.java","src/main/java/com/gmail/nossr50/api/ChatAPI.java","L115","9","0","40","0","4","10","270","0"
"L117","ExperienceAPI.java","src/main/java/com/gmail/nossr50/api/ExperienceAPI.java","L115","3","0","46","0","3","12","270","0"
"L118","PartyAPI.java","src/main/java/com/gmail/nossr50/api/PartyAPI.java","L115","1","0","42","0","3","14","270","0"
"L119","SpoutToolsAPI.java","src/main/java/com/gmail/nossr50/api/SpoutToolsAPI.java","L115","6","0","34","0","2","4","270","0"
"L342","CommandHelper.java","src/main/java/com/gmail/nossr50/commands/CommandHelper.java","L341","20","0","91","0","2","8","1840","3"
"L343","SkillCommand.java","src/main/java/com/gmail/nossr50/commands/SkillCommand.java","L341","5","0","61","0","1","5","1840","3"
"L1510","Config.java","src/main/java/com/gmail/nossr50/config/Config.java","L1509","9","0","288","0","4","45","1840","2"
"L1511","ConfigLoader.java","src/main/java/com/gmail/nossr50/config/ConfigLoader.java","L1509","5","0","52","0","3","7","1840","0"
"L1512","HiddenConfig.java","src/main/java/com/gmail/nossr50/config/HiddenConfig.java","L1509","3","0","34","0","2","4","1840","0"
"L1513","RepairConfig.java","src/main/java/com/gmail/nossr50/config/RepairConfig.java","L1509","13","0","90","0","2","7","1840","0"
"L1514","RepairConfigManager.java","src/main/java/com/gmail/nossr50/config/RepairConfigManager.java","L1509","7","0","41","0","2","8","1840","0"
"L1515","SpoutConfig.java","src/main/java/com/gmail/nossr50/config/SpoutConfig.java","L1509","5","0","81","0","3","9","1840","0"
"L1516","TreasuresConfig.java","src/main/java/com/gmail/nossr50/config/TreasuresConfig.java","L1509","54","0","209","0","3","7","1840","1"
"L2266","AbilityType.java","src/main/java/com/gmail/nossr50/datatypes/AbilityType.java","L2265","17","0","162","0","4","31","258","0"
"L2267","DatabaseUpdate.java","src/main/java/com/gmail/nossr50/datatypes/DatabaseUpdate.java","L2265","1","0","5","0","2","3","768","0"
"L2268","HUDmmo.java","src/main/java/com/gmail/nossr50/datatypes/HUDmmo.java","L2265","37","0","290","0","4","20","1840","0"
"L2269","HUDType.java","src/main/java/com/gmail/nossr50/datatypes/HUDType.java","L2265","1","0","7","0","4","4","1840","0"
"L2270","PlayerProfile.java","src/main/java/com/gmail/nossr50/datatypes/PlayerProfile.java","L2265","154","0","836","0","5","96","270","1"
"L2271","PlayerStat.java","src/main/java/com/gmail/nossr50/datatypes/PlayerStat.java","L2265","1","0","5","0","4","4","1840","0"
"L2272","SkillType.java","src/main/java/com/gmail/nossr50/datatypes/SkillType.java","L2265","14","0","89","0","4","13","1840","0"
"L2273","ToolType.java","src/main/java/com/gmail/nossr50/datatypes/ToolType.java","L2265","7","0","43","0","2","14","1840","0"
"L2274","Tree.java","src/main/java/com/gmail/nossr50/datatypes/Tree.java","L2265","3","0","27","0","4","6","1840","0"
"L2275","TreeNode.java","src/main/java/com/gmail/nossr50/datatypes/TreeNode.java","L2265","7","0","39","0","4","5","1840","0"
"L3400","BlockListener.java","src/main/java/com/gmail/nossr50/listeners/BlockListener.java","L3399","101","0","298","0","5","38","1840","0"
"L3401","EntityListener.java","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","L3399","48","0","221","0","4","31","270","1"
"L3402","HardcoreListener.java","src/main/java/com/gmail/nossr50/listeners/HardcoreListener.java","L3399","4","0","23","0","3","9","1840","0"
"L3403","PlayerListener.java","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","L3399","59","0","267","0","4","54","1840","0"
"L3404","SelfListener.java","src/main/java/com/gmail/nossr50/listeners/SelfListener.java","L3399","3","0","19","0","1","3","768","0"
"L3405","SpoutListener.java","src/main/java/com/gmail/nossr50/listeners/SpoutListener.java","L3399","17","0","103","0","2","9","1840","0"
"L3406","WorldListener.java","src/main/java/com/gmail/nossr50/listeners/WorldListener.java","L3399","2","0","35","0","2","3","1840","1"
"L3714","LocaleLoader.java","src/main/java/com/gmail/nossr50/locale/LocaleLoader.java","L3713","6","0","60","0","2","2","1840","0"
"L4065","Party.java","src/main/java/com/gmail/nossr50/party/Party.java","L4064","3","0","49","0","5","34","270","0"
"L4066","PartyManager.java","src/main/java/com/gmail/nossr50/party/PartyManager.java","L4064","41","0","232","0","2","9","768","0"
"L4174","BleedTimer.java","src/main/java/com/gmail/nossr50/runnables/BleedTimer.java","L4173","23","0","119","0","3","9","1840","0"
"L4175","GainXp.java","src/main/java/com/gmail/nossr50/runnables/GainXp.java","L4173","3","0","34","0","2","7","270","0"
"L4176","GreenThumbTimer.java","src/main/java/com/gmail/nossr50/runnables/GreenThumbTimer.java","L4173","5","0","36","0","1","3","1840","0"
"L4177","ProfileSaveTask.java","src/main/java/com/gmail/nossr50/runnables/ProfileSaveTask.java","L4173","2","0","16","0","3","4","270","0"
"L4178","SaveTimer.java","src/main/java/com/gmail/nossr50/runnables/SaveTimer.java","L4173","2","0","22","0","3","9","270","0"
"L4179","SkillMonitor.java","src/main/java/com/gmail/nossr50/runnables/SkillMonitor.java","L4173","7","0","31","0","2","5","1840","0"
"L4180","SpoutStart.java","src/main/java/com/gmail/nossr50/runnables/SpoutStart.java","L4173","3","0","29","0","3","11","1840","0"
"L4181","SQLConversionTask.java","src/main/java/com/gmail/nossr50/runnables/SQLConversionTask.java","L4173","32","0","238","0","2","14","1840","0"
"L4182","SQLReconnect.java","src/main/java/com/gmail/nossr50/runnables/SQLReconnect.java","L4173","5","0","27","0","3","10","270","0"
