"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L113","mcMMO.java","src/main/java/com/gmail/nossr50/mcMMO.java","L112","38","0","360","1","9","182","232","4"
"L116","AbilityAPI.java","src/main/java/com/gmail/nossr50/api/AbilityAPI.java","L115","3","0","35","0","1","2","1840","0"
"L117","ChatAPI.java","src/main/java/com/gmail/nossr50/api/ChatAPI.java","L115","9","0","38","0","5","13","1840","0"
"L118","ExperienceAPI.java","src/main/java/com/gmail/nossr50/api/ExperienceAPI.java","L115","3","0","55","0","3","15","1840","0"
"L119","PartyAPI.java","src/main/java/com/gmail/nossr50/api/PartyAPI.java","L115","2","0","49","0","3","15","1840","0"
"L120","SpoutToolsAPI.java","src/main/java/com/gmail/nossr50/api/SpoutToolsAPI.java","L115","6","0","34","0","2","6","1840","0"
"L403","CommandHelper.java","src/main/java/com/gmail/nossr50/commands/CommandHelper.java","L402","22","0","103","1","4","14","232","0"
"L404","SkillCommand.java","src/main/java/com/gmail/nossr50/commands/SkillCommand.java","L402","6","0","63","1","2","10","1840","0"
"L2064","AdvancedConfig.java","src/main/java/com/gmail/nossr50/config/AdvancedConfig.java","L2063","2","0","130","1","4","27","768","2"
"L2065","Config.java","src/main/java/com/gmail/nossr50/config/Config.java","L2063","8","0","305","1","8","89","768","2"
"L2066","ConfigLoader.java","src/main/java/com/gmail/nossr50/config/ConfigLoader.java","L2063","6","0","62","0","4","12","232","0"
"L2067","HiddenConfig.java","src/main/java/com/gmail/nossr50/config/HiddenConfig.java","L2063","3","0","33","0","4","10","258","0"
"L2068","SpoutConfig.java","src/main/java/com/gmail/nossr50/config/SpoutConfig.java","L2063","5","0","79","0","3","12","270","0"
"L2069","TreasuresConfig.java","src/main/java/com/gmail/nossr50/config/TreasuresConfig.java","L2063","44","0","181","1","5","21","1840","0"
"L2911","AbilityType.java","src/main/java/com/gmail/nossr50/datatypes/AbilityType.java","L2910","17","0","161","0","5","33","232","0"
"L2912","DatabaseUpdate.java","src/main/java/com/gmail/nossr50/datatypes/DatabaseUpdate.java","L2910","1","0","7","0","3","5","208","0"
"L2913","HudType.java","src/main/java/com/gmail/nossr50/datatypes/HudType.java","L2910","1","0","10","0","1","1","270","0"
"L2914","McMMOPlayer.java","src/main/java/com/gmail/nossr50/datatypes/McMMOPlayer.java","L2910","27","0","163","0","5","12","232","1"
"L2915","PlayerProfile.java","src/main/java/com/gmail/nossr50/datatypes/PlayerProfile.java","L2910","142","0","752","1","8","128","232","1"
"L2916","PlayerStat.java","src/main/java/com/gmail/nossr50/datatypes/PlayerStat.java","L2910","1","0","10","0","5","6","232","0"
"L2917","SkillType.java","src/main/java/com/gmail/nossr50/datatypes/SkillType.java","L2910","18","0","99","0","5","18","768","0"
"L2918","SpoutHud.java","src/main/java/com/gmail/nossr50/datatypes/SpoutHud.java","L2910","7","0","72","0","2","3","270","0"
"L2919","ToolType.java","src/main/java/com/gmail/nossr50/datatypes/ToolType.java","L2910","7","0","43","0","2","14","1840","0"
"L4128","BlockListener.java","src/main/java/com/gmail/nossr50/listeners/BlockListener.java","L4127","81","0","241","0","8","74","1840","0"
"L4129","EntityListener.java","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","L4127","79","0","311","0","6","74","232","5"
"L4130","HardcoreListener.java","src/main/java/com/gmail/nossr50/listeners/HardcoreListener.java","L4127","5","0","22","0","4","18","232","0"
