"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L113","mcMMO.java","src/main/java/com/gmail/nossr50/mcMMO.java","L112","45","0","385","7","13","354","648","6"
"L116","AbilityAPI.java","src/main/java/com/gmail/nossr50/api/AbilityAPI.java","L115","3","0","62","0","5","13","1840","0"
"L117","ChatAPI.java","src/main/java/com/gmail/nossr50/api/ChatAPI.java","L115","1","0","53","0","7","28","1840","0"
"L118","ExperienceAPI.java","src/main/java/com/gmail/nossr50/api/ExperienceAPI.java","L115","8","0","171","0","8","48","1840","2"
"L119","PartyAPI.java","src/main/java/com/gmail/nossr50/api/PartyAPI.java","L115","5","0","72","0","7","32","648","0"
"L649","AdminChatManager.java","src/main/java/com/gmail/nossr50/chat/AdminChatManager.java","L648","1","0","17","0","2","2","648","0"
"L650","ChatManager.java","src/main/java/com/gmail/nossr50/chat/ChatManager.java","L648","3","0","39","1","4","13","648","0"
"L651","ChatManagerFactory.java","src/main/java/com/gmail/nossr50/chat/ChatManagerFactory.java","L648","5","0","24","0","1","2","1840","0"
"L652","PartyChatManager.java","src/main/java/com/gmail/nossr50/chat/PartyChatManager.java","L648","6","0","39","2","2","8","648","2"
"L794","KrakenCommand.java","src/main/java/com/gmail/nossr50/commands/KrakenCommand.java","L793","8","0","53","1","2","9","648","0"
"L795","McabilityCommand.java","src/main/java/com/gmail/nossr50/commands/McabilityCommand.java","L793","2","0","24","0","5","8","1840","0"
"L796","McconvertCommand.java","src/main/java/com/gmail/nossr50/commands/McconvertCommand.java","L793","14","0","73","0","1","1","1840","0"
"L797","McgodCommand.java","src/main/java/com/gmail/nossr50/commands/McgodCommand.java","L793","2","0","24","0","5","8","1840","0"
"L798","McmmoCommand.java","src/main/java/com/gmail/nossr50/commands/McmmoCommand.java","L793","19","0","90","1","4","9","648","0"
"L799","McnotifyCommand.java","src/main/java/com/gmail/nossr50/commands/McnotifyCommand.java","L793","3","0","28","0","3","5","1840","0"
"L800","McrefreshCommand.java","src/main/java/com/gmail/nossr50/commands/McrefreshCommand.java","L793","1","0","27","0","4","10","1840","0"
"L801","McscoreboardCommand.java","src/main/java/com/gmail/nossr50/commands/McscoreboardCommand.java","L793","13","0","72","0","3","7","648","0"
"L802","MobhealthCommand.java","src/main/java/com/gmail/nossr50/commands/MobhealthCommand.java","L793","5","0","55","0","3","6","648","0"
"L803","ToggleCommand.java","src/main/java/com/gmail/nossr50/commands/ToggleCommand.java","L793","9","0","60","1","2","7","648","0"
"L804","XprateCommand.java","src/main/java/com/gmail/nossr50/commands/XprateCommand.java","L793","14","0","79","0","3","5","1840","0"
"L3611","AdvancedConfig.java","src/main/java/com/gmail/nossr50/config/AdvancedConfig.java","L3610","152","0","569","6","8","96","648","3"
"L3612","AutoUpdateConfigLoader.java","src/main/java/com/gmail/nossr50/config/AutoUpdateConfigLoader.java","L3610","19","0","97","0","5","9","648","0"
"L3613","Config.java","src/main/java/com/gmail/nossr50/config/Config.java","L3610","69","0","345","7","12","204","648","1"
"L3614","ConfigLoader.java","src/main/java/com/gmail/nossr50/config/ConfigLoader.java","L3610","6","0","71","0","5","34","1840","0"
"L3615","HiddenConfig.java","src/main/java/com/gmail/nossr50/config/HiddenConfig.java","L3610","3","0","43","0","4","12","258","1"
"L4911","DatabaseManager.java","src/main/java/com/gmail/nossr50/database/DatabaseManager.java","L4910","1","0","23","0","5","19","1840","2"
"L4912","DatabaseManagerFactory.java","src/main/java/com/gmail/nossr50/database/DatabaseManagerFactory.java","L4910","11","0","59","0","4","7","55","0"
"L4913","FlatfileDatabaseManager.java","src/main/java/com/gmail/nossr50/database/FlatfileDatabaseManager.java","L4910","85","0","706","1","5","35","648","2"
"L4914","SQLDatabaseManager.java","src/main/java/com/gmail/nossr50/database/SQLDatabaseManager.java","L4910","129","0","992","1","5","43","1840","2"
"L5433","MobHealthbarType.java","src/main/java/com/gmail/nossr50/datatypes/MobHealthbarType.java","L5432","1","0","6","0","1","1","1840","0"
"L7069","BlockListener.java","src/main/java/com/gmail/nossr50/listeners/BlockListener.java","L7068","100","0","255","1","12","166","648","3"
"L7070","EntityListener.java","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","L7068","123","0","453","7","8","168","648","4"
"L7071","InventoryListener.java","src/main/java/com/gmail/nossr50/listeners/InventoryListener.java","L7068","62","0","271","7","6","55","648","1"
"L7072","PlayerListener.java","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","L7068","117","0","455","12","8","257","648","4"
"L7073","SelfListener.java","src/main/java/com/gmail/nossr50/listeners/SelfListener.java","L7068","3","0","33","0","7","17","648","0"
"L7074","WorldListener.java","src/main/java/com/gmail/nossr50/listeners/WorldListener.java","L7068","5","0","47","1","4","50","1840","0"
"L7607","LocaleLoader.java","src/main/java/com/gmail/nossr50/locale/LocaleLoader.java","L7606","10","0","94","2","6","14","648","0"
"L7904","MetricsManager.java","src/main/java/com/gmail/nossr50/metrics/MetricsManager.java","L7903","20","0","281","0","5","8","1840","0"
"L7991","PartyManager.java","src/main/java/com/gmail/nossr50/party/PartyManager.java","L7990","63","0","355","4","10","90","648","0"
"L7992","ShareHandler.java","src/main/java/com/gmail/nossr50/party/ShareHandler.java","L7990","16","0","100","0","5","30","1840","0"
"L8162","CheckDateTask.java","src/main/java/com/gmail/nossr50/runnables/CheckDateTask.java","L8161","2","0","16","0","1","1","648","0"
"L8163","MobHealthDisplayUpdaterTask.java","src/main/java/com/gmail/nossr50/runnables/MobHealthDisplayUpdaterTask.java","L8161","4","0","25","1","2","4","648","0"
"L8164","PlayerUpdateInventoryTask.java","src/main/java/com/gmail/nossr50/runnables/PlayerUpdateInventoryTask.java","L8161","1","0","14","0","2","2","55","0"
"L8165","SaveTimerTask.java","src/main/java/com/gmail/nossr50/runnables/SaveTimerTask.java","L8161","2","0","18","0","3","6","55","0"
"L8166","StickyPistonTrackerTask.java","src/main/java/com/gmail/nossr50/runnables/StickyPistonTrackerTask.java","L8161","4","0","25","0","3","7","648","3"
"L8727","SkillManager.java","src/main/java/com/gmail/nossr50/skills/SkillManager.java","L8726","1","0","24","0","6","20","1840","0"
"L9987","BlockUtils.java","src/main/java/com/gmail/nossr50/util/BlockUtils.java","L9986","89","0","198","1","4","21","1840","3"
"L9988","ChimaeraWing.java","src/main/java/com/gmail/nossr50/util/ChimaeraWing.java","L9986","17","0","131","2","7","42","648","0"
"L9989","EnchantmentUtils.java","src/main/java/com/gmail/nossr50/util/EnchantmentUtils.java","L9986","2","0","36","0","1","1","648","0"
"L9990","EventUtils.java","src/main/java/com/gmail/nossr50/util/EventUtils.java","L9986","11","0","139","0","2","8","648","2"
"L9991","HardcoreManager.java","src/main/java/com/gmail/nossr50/util/HardcoreManager.java","L9986","19","0","101","2","5","16","648","1"
"L9992","HolidayManager.java","src/main/java/com/gmail/nossr50/util/HolidayManager.java","L9986","43","0","305","0","4","14","648","0"
"L9993","ItemUtils.java","src/main/java/com/gmail/nossr50/util/ItemUtils.java","L9986","201","0","428","0","3","24","1840","0"
"L9994","LogFilter.java","src/main/java/com/gmail/nossr50/util/LogFilter.java","L9986","2","0","14","0","2","3","1840","0"
"L9995","MaterialUtils.java","src/main/java/com/gmail/nossr50/util/MaterialUtils.java","L9986","10","0","22","0","2","3","648","0"
"L9996","Misc.java","src/main/java/com/gmail/nossr50/util/Misc.java","L9986","15","0","82","7","10","111","648","2"
"L9997","MobHealthbarUtils.java","src/main/java/com/gmail/nossr50/util/MobHealthbarUtils.java","L9986","24","0","120","2","4","15","1840","0"
"L9998","ModManager.java","src/main/java/com/gmail/nossr50/util/ModManager.java","L9986","39","0","218","0","2","2","648","0"
"L9999","Motd.java","src/main/java/com/gmail/nossr50/util/Motd.java","L9986","16","0","86","0","5","19","648","0"
"L10000","Permissions.java","src/main/java/com/gmail/nossr50/util/Permissions.java","L9986","2","0","137","2","10","80","648","0"
"L10001","StringUtils.java","src/main/java/com/gmail/nossr50/util/StringUtils.java","L9986","12","0","74","0","4","12","1840","0"
"L283","InvalidPlayerException.java","src/main/java/com/gmail/nossr50/api/exceptions/InvalidPlayerException.java","L282","1","0","7","0","1","1","1840","0"
"L284","InvalidSkillException.java","src/main/java/com/gmail/nossr50/api/exceptions/InvalidSkillException.java","L282","1","0","7","0","1","1","1840","0"
"L807","AdminChatCommand.java","src/main/java/com/gmail/nossr50/commands/chat/AdminChatCommand.java","L806","1","0","12","0","2","3","1840","0"
"L808","ChatCommand.java","src/main/java/com/gmail/nossr50/commands/chat/ChatCommand.java","L806","18","0","105","0","3","10","648","0"
"L809","PartyChatCommand.java","src/main/java/com/gmail/nossr50/commands/chat/PartyChatCommand.java","L806","6","0","47","1","3","4","648","0"
"L909","ConvertDatabaseCommand.java","src/main/java/com/gmail/nossr50/commands/database/ConvertDatabaseCommand.java","L908","10","0","58","0","2","2","55","2"
"L910","McpurgeCommand.java","src/main/java/com/gmail/nossr50/commands/database/McpurgeCommand.java","L908","3","0","29","0","2","5","1840","0"
"L911","McremoveCommand.java","src/main/java/com/gmail/nossr50/commands/database/McremoveCommand.java","L908","6","0","43","1","4","14","648","0"
"L912","MmoshowdbCommand.java","src/main/java/com/gmail/nossr50/commands/database/MmoshowdbCommand.java","L908","4","0","30","0","3","4","1840","0"
"L1033","AddlevelsCommand.java","src/main/java/com/gmail/nossr50/commands/experience/AddlevelsCommand.java","L1032","2","0","36","1","2","8","1840","0"
"L1034","AddxpCommand.java","src/main/java/com/gmail/nossr50/commands/experience/AddxpCommand.java","L1032","2","0","36","1","3","7","1840","0"
"L1035","ConvertExperienceCommand.java","src/main/java/com/gmail/nossr50/commands/experience/ConvertExperienceCommand.java","L1032","5","0","38","0","1","1","1840","1"
"L1036","ExperienceCommand.java","src/main/java/com/gmail/nossr50/commands/experience/ExperienceCommand.java","L1032","21","0","114","6","4","22","648","0"
"L1037","MmoeditCommand.java","src/main/java/com/gmail/nossr50/commands/experience/MmoeditCommand.java","L1032","3","0","40","1","3","8","1840","0"
"L1038","SkillresetCommand.java","src/main/java/com/gmail/nossr50/commands/experience/SkillresetCommand.java","L1032","20","0","130","3","4","21","648","0"
"L1249","HardcoreCommand.java","src/main/java/com/gmail/nossr50/commands/hardcore/HardcoreCommand.java","L1248","8","0","53","0","3","8","1840","0"
"L1250","HardcoreModeCommand.java","src/main/java/com/gmail/nossr50/commands/hardcore/HardcoreModeCommand.java","L1248","20","0","104","0","2","4","1840","0"
"L1251","VampirismCommand.java","src/main/java/com/gmail/nossr50/commands/hardcore/VampirismCommand.java","L1248","8","0","53","0","3","8","1840","0"
"L1606","PartyAcceptCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyAcceptCommand.java","L1605","4","0","31","0","2","5","1840","0"
"L1607","PartyChangeOwnerCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyChangeOwnerCommand.java","L1605","3","0","29","1","3","6","1840","0"
"L1608","PartyChangePasswordCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyChangePasswordCommand.java","L1605","5","0","40","0","2","4","1840","0"
"L1609","PartyCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyCommand.java","L1605","51","0","197","4","8","53","648","1"
"L1610","PartyCreateCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyCreateCommand.java","L1605","6","0","37","0","2","5","1840","0"
"L1611","PartyDisbandCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyDisbandCommand.java","L1605","4","0","31","0","2","3","1840","0"
"L1612","PartyHelpCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyHelpCommand.java","L1605","2","0","26","2","4","4","232","0"
"L1613","PartyInfoCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyInfoCommand.java","L1605","17","0","99","1","3","17","1840","0"
"L1614","PartyInviteCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyInviteCommand.java","L1605","6","0","49","1","3","11","1840","0"
"L1615","PartyItemShareCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyItemShareCommand.java","L1605","11","0","71","0","3","9","1840","0"
"L1616","PartyJoinCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyJoinCommand.java","L1605","11","0","57","3","3","11","1840","0"
"L1617","PartyKickCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyKickCommand.java","L1605","5","0","42","1","3","7","648","0"
"L1618","PartyLockCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyLockCommand.java","L1605","14","0","60","0","3","5","1840","0"
"L1619","PartyQuitCommand.java","src/main/java/com/gmail/nossr50/commands/party/PartyQuitCommand.java","L1605","3","0","31","0","2","3","1840","0"
