@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","45","0","385","7","13","354","648","true"
"L116","3","0","62","0","5","13","1840","false"
"L117","1","0","53","0","7","28","1840","false"
"L118","8","0","171","0","8","48","1840","true"
"L119","5","0","72","0","7","32","648","false"
"L649","1","0","17","0","2","2","648","false"
"L650","3","0","39","1","4","13","648","false"
"L651","5","0","24","0","1","2","1840","false"
"L652","6","0","39","2","2","8","648","true"
"L794","8","0","53","1","2","9","648","false"
"L795","2","0","24","0","5","8","1840","false"
"L796","14","0","73","0","1","1","1840","false"
"L797","2","0","24","0","5","8","1840","false"
"L798","19","0","90","1","4","9","648","false"
"L799","3","0","28","0","3","5","1840","false"
"L800","1","0","27","0","4","10","1840","false"
"L801","13","0","72","0","3","7","648","false"
"L802","5","0","55","0","3","6","648","false"
"L803","9","0","60","1","2","7","648","false"
"L804","14","0","79","0","3","5","1840","false"
"L3611","152","0","569","6","8","96","648","true"
"L3612","19","0","97","0","5","9","648","false"
"L3613","69","0","345","7","12","204","648","true"
"L3614","6","0","71","0","5","34","1840","false"
"L3615","3","0","43","0","4","12","258","true"
"L4911","1","0","23","0","5","19","1840","true"
"L4912","11","0","59","0","4","7","55","false"
"L4913","85","0","706","1","5","35","648","true"
"L4914","129","0","992","1","5","43","1840","true"
"L5433","1","0","6","0","1","1","1840","false"
"L7069","100","0","255","1","12","166","648","true"
"L7070","123","0","453","7","8","168","648","true"
"L7071","62","0","271","7","6","55","648","true"
"L7072","117","0","455","12","8","257","648","true"
"L7073","3","0","33","0","7","17","648","false"
"L7074","5","0","47","1","4","50","1840","false"
"L7607","10","0","94","2","6","14","648","false"
"L7904","20","0","281","0","5","8","1840","false"
"L7991","63","0","355","4","10","90","648","false"
"L7992","16","0","100","0","5","30","1840","false"
"L8162","2","0","16","0","1","1","648","false"
"L8163","4","0","25","1","2","4","648","false"
"L8164","1","0","14","0","2","2","55","false"
"L8165","2","0","18","0","3","6","55","false"
"L8166","4","0","25","0","3","7","648","true"
"L8727","1","0","24","0","6","20","1840","false"
"L9987","89","0","198","1","4","21","1840","true"
"L9988","17","0","131","2","7","42","648","false"
"L9989","2","0","36","0","1","1","648","false"
"L9990","11","0","139","0","2","8","648","true"
"L9991","19","0","101","2","5","16","648","true"
"L9992","43","0","305","0","4","14","648","false"
"L9993","201","0","428","0","3","24","1840","false"
"L9994","2","0","14","0","2","3","1840","false"
"L9995","10","0","22","0","2","3","648","false"
"L9996","15","0","82","7","10","111","648","true"
"L9997","24","0","120","2","4","15","1840","false"
"L9998","39","0","218","0","2","2","648","false"
"L9999","16","0","86","0","5","19","648","false"
"L10000","2","0","137","2","10","80","648","false"
"L10001","12","0","74","0","4","12","1840","false"
"L283","1","0","7","0","1","1","1840","false"
"L284","1","0","7","0","1","1","1840","false"
"L807","1","0","12","0","2","3","1840","false"
"L808","18","0","105","0","3","10","648","false"
"L809","6","0","47","1","3","4","648","false"
"L909","10","0","58","0","2","2","55","true"
"L910","3","0","29","0","2","5","1840","false"
"L911","6","0","43","1","4","14","648","false"
"L912","4","0","30","0","3","4","1840","false"
"L1033","2","0","36","1","2","8","1840","false"
"L1034","2","0","36","1","3","7","1840","false"
"L1035","5","0","38","0","1","1","1840","true"
"L1036","21","0","114","6","4","22","648","false"
"L1037","3","0","40","1","3","8","1840","false"
"L1038","20","0","130","3","4","21","648","false"
"L1249","8","0","53","0","3","8","1840","false"
"L1250","20","0","104","0","2","4","1840","false"
"L1251","8","0","53","0","3","8","1840","false"
"L1606","4","0","31","0","2","5","1840","false"
"L1607","3","0","29","1","3","6","1840","false"
"L1608","5","0","40","0","2","4","1840","false"
"L1609","51","0","197","4","8","53","648","true"
"L1610","6","0","37","0","2","5","1840","false"
"L1611","4","0","31","0","2","3","1840","false"
"L1612","2","0","26","2","4","4","232","false"
"L1613","17","0","99","1","3","17","1840","false"
"L1614","6","0","49","1","3","11","1840","false"
"L1615","11","0","71","0","3","9","1840","false"
"L1616","11","0","57","3","3","11","1840","false"
"L1617","5","0","42","1","3","7","648","false"
"L1618","14","0","60","0","3","5","1840","false"
"L1619","3","0","31","0","2","3","1840","false"
"L1620","7","0","46","1","2","5","1840","false"
"L1621","13","0","48","0","2","3","648","false"
"L1622","9","0","46","0","1","1","648","false"
"L2256","17","0","90","2","5","24","648","false"
"L2257","8","0","54","0","4","6","208","false"
"L2258","14","0","79","3","8","41","648","false"
"L2259","6","0","49","0","4","12","1840","false"
"L2260","17","0","93","2","8","34","648","false"
"L2442","13","0","74","1","7","47","208","false"
