"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L118","CanvasActivator.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/CanvasActivator.java","L117","1","0","32","0","0","1","0","0"
"L119","ComponentRegistryAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/ComponentRegistryAccess.java","L117","1","0","16","0","0","1","0","0"
"L120","MenuManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/MenuManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L121","PolicyManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/PolicyManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L14593","AbstractBorderAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AbstractBorderAction.java","L14592","5","0","57","0","0","1","0","0"
"L14594","AlignBottomAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignBottomAction.java","L14592","1","0","37","0","0","1","0","0"
"L14595","AlignHorizontalCenterAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignHorizontalCenterAction.java","L14592","1","0","37","0","0","1","0","0"
"L14596","AlignLeftAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignLeftAction.java","L14592","1","0","37","0","0","1","0","0"
"L14597","AlignmentMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignmentMenu.java","L14592","1","0","39","0","0","1","0","0"
"L14598","AlignRightAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignRightAction.java","L14592","1","0","37","0","0","1","0","0"
"L14599","AlignTopAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignTopAction.java","L14592","1","0","37","0","0","1","0","0"
"L14600","AlignVerticalCenterAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/AlignVerticalCenterAction.java","L14592","1","0","37","0","0","1","0","0"
"L14601","BordersAllOrNoneAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersAllOrNoneAction.java","L14592","11","0","119","0","0","1","0","0"
"L14602","BordersBottomAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersBottomAction.java","L14592","1","0","20","0","0","1","0","0"
"L14603","BordersLeftAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersLeftAction.java","L14592","1","0","20","0","0","1","0","0"
"L14604","BordersMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersMenu.java","L14592","1","0","34","0","0","1","0","0"
"L14605","BordersRightAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersRightAction.java","L14592","1","0","20","0","0","1","0","0"
"L14606","BordersTopAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BordersTopAction.java","L14592","1","0","20","0","0","1","0","0"
"L14607","BorderStylesAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesAction.java","L14592","5","0","92","0","0","1","0","0"
"L14608","BorderStylesMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BorderStylesMenu.java","L14592","1","0","28","0","0","1","0","0"
"L14609","BringToFrontAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/BringToFrontAction.java","L14592","2","0","39","0","0","1","0","0"
"L14610","ChangeViewAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/ChangeViewAction.java","L14592","9","0","102","0","0","1","0","0"
"L14611","ExportPanelAsImageAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/ExportPanelAsImageAction.java","L14592","14","0","107","1","70","2","0","0"
"L14612","GridMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/GridMenu.java","L14592","1","0","30","0","0","1","0","0"
"L14613","MenuUtil.java","canvas/src/main/java/gov/nasa/arc/mct/menu/MenuUtil.java","L14592","13","0","58","0","0","1","0","0"
"L14614","PanelTitleBarAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/PanelTitleBarAction.java","L14592","6","0","53","0","0","1","0","0"
"L14615","RemovePanelAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/RemovePanelAction.java","L14592","2","0","37","0","0","1","0","0"
"L14616","SelectAllAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/SelectAllAction.java","L14592","3","0","37","0","0","1","0","0"
"L14617","SendToBackAction.java","canvas/src/main/java/gov/nasa/arc/mct/menu/SendToBackAction.java","L14592","2","0","39","0","0","1","0","0"
"L14618","WindowGridMenu.java","canvas/src/main/java/gov/nasa/arc/mct/menu/WindowGridMenu.java","L14592","1","0","30","0","0","1","0","0"
"L212","ControlAreaFormattingConstants.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/formatting/ControlAreaFormattingConstants.java","L211","6","0","65","0","0","1","0","0"
