@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","1","0","32","0","0","1","0","false"
"L119","1","0","16","0","0","1","0","false"
"L120","1","0","15","0","0","1","0","false"
"L121","1","0","15","0","0","1","0","false"
"L14593","5","0","57","0","0","1","0","false"
"L14594","1","0","37","0","0","1","0","false"
"L14595","1","0","37","0","0","1","0","false"
"L14596","1","0","37","0","0","1","0","false"
"L14597","1","0","39","0","0","1","0","false"
"L14598","1","0","37","0","0","1","0","false"
"L14599","1","0","37","0","0","1","0","false"
"L14600","1","0","37","0","0","1","0","false"
"L14601","11","0","119","0","0","1","0","false"
"L14602","1","0","20","0","0","1","0","false"
"L14603","1","0","20","0","0","1","0","false"
"L14604","1","0","34","0","0","1","0","false"
"L14605","1","0","20","0","0","1","0","false"
"L14606","1","0","20","0","0","1","0","false"
"L14607","5","0","92","0","0","1","0","false"
"L14608","1","0","28","0","0","1","0","false"
"L14609","2","0","39","0","0","1","0","false"
"L14610","9","0","102","0","0","1","0","false"
"L14611","14","0","107","1","70","2","0","false"
"L14612","1","0","30","0","0","1","0","false"
"L14613","13","0","58","0","0","1","0","false"
"L14614","6","0","53","0","0","1","0","false"
"L14615","2","0","37","0","0","1","0","false"
"L14616","3","0","37","0","0","1","0","false"
"L14617","2","0","39","0","0","1","0","false"
"L14618","1","0","30","0","0","1","0","false"
"L212","6","0","65","0","0","1","0","false"
"L323","33","0","236","0","0","1","0","false"
"L590","6","0","52","1","70","2","0","false"
"L591","5","0","76","0","0","1","0","false"
"L592","52","0","610","1","70","3","0","false"
"L593","28","0","201","0","0","1","0","false"
"L594","6","0","92","0","0","1","0","false"
"L1667","1","0","33","0","0","1","0","false"
"L1668","11","0","190","0","0","1","0","false"
"L1937","3","0","24","0","0","1","0","false"
"L1938","1","0","14","1","70","2","0","false"
"L2010","1","0","167","1","70","5","0","false"
"L2198","147","0","683","3","590","12","0","false"
"L2199","50","0","269","0","0","1","0","false"
"L2200","111","0","1495","1","70","3","0","false"
"L2201","41","0","134","0","0","1","0","false"
"L2202","120","0","903","2","70","11","0","false"
"L2203","8","0","92","0","0","1","0","false"
"L2204","10","0","67","0","0","1","0","false"
"L2205","20","0","105","0","0","1","0","false"
"L2206","1","0","12","0","0","1","0","false"
"L2207","16","0","122","0","0","1","0","false"
"L2208","17","0","268","0","0","1","0","true"
"L2209","6","0","51","0","0","1","0","false"
"L2210","1","0","11","0","0","1","0","false"
"L2211","1","0","11","0","0","1","0","false"
"L2212","1","0","14","0","0","1","0","false"
"L5478","2","0","141","0","0","1","0","false"
"L5479","4","0","37","0","0","1","0","false"
"L129","1","0","50","0","0","1","0","false"
"L130","1","0","22","0","0","1","0","false"
"L131","1","0","22","0","0","1","0","false"
"L14620","1","0","56","0","0","1","0","false"
"L325","1","0","113","0","0","1","0","false"
"L596","1","0","29","0","0","1","0","false"
"L1670","1","0","45","0","0","1","0","false"
"L1671","2","0","25","0","0","1","0","false"
"L1940","1","0","28","1","70","2","0","false"
"L2214","32","0","882","0","0","1","0","false"
"L2215","3","0","229","1","70","2","0","false"
"L2216","1","0","63","0","0","1","0","false"
"L2217","2","0","110","0","0","1","0","false"
"L2218","6","0","245","0","0","1","0","false"
"L2219","1","0","60","0","0","1","0","false"
"L2220","11","0","74","0","0","1","0","false"
"L5422","1","0","25","1","70","1","0","false"
"L5424","7","0","47","1","70","1","0","false"
"L5427","32","0","272","0","0","1","0","false"
"L5429","3","0","89","0","0","1","0","false"
"L5432","15","0","154","1","70","1","0","false"
"L5438","7","0","72","1","70","3","0","false"
"L5445","3","0","41","1","590","3","0","false"
"L5446","23","0","336","1","70","1","0","false"
"L32196","66","0","628","3","590","25","0","false"
"L32201","1","0","123","3","70","5","0","false"
"L33082","3","0","40","1","70","1","0","false"
"L33512","1","0","1","1","590","3","0","false"
"L34897","1","0","36","1","70","1","0","false"
"L35023","25","0","251","3","590","10","0","false"
"L32170","1","0","7","1","70","1","0","false"
"L32171","1","0","1","1","70","1","0","false"
"L32172","1","0","9","2","590","4","0","false"
"L32529","1","0","4","1","70","1","0","false"
"L33165","1","0","16","1","590","4","0","false"
"L33166","74","0","549","1","590","4","0","false"
"L33167","5","0","21","1","590","4","0","false"
"L33168","1","0","23","1","590","4","0","false"
"L33169","5","0","30","1","590","4","0","false"
"L33170","1","0","46","1","590","4","0","false"
"L34199","1","0","1","1","70","1","0","false"
"L34220","1","0","8","2","70","4","0","false"
"L34222","1","0","26","2","70","9","0","false"
"L34223","1","0","28","3","590","6","0","false"
"L34225","16","0","74","3","590","9","0","false"
"L35454","1","0","16","3","70","5","0","false"
"L35487","1","0","10","2","8","4","0","false"
"L35499","3","0","19","1","70","1","0","false"
"L35821","1","0","20","2","70","8","0","false"
"L35822","1","0","11","2","8","4","0","false"
"L35825","1","0","13","2","70","8","0","false"
"L35826","2","0","20","1","70","1","0","false"
"L5458","1","0","38","1","70","1","0","false"
"L5459","2","0","148","1","70","1","0","false"
"L5461","15","0","367","3","70","5","0","false"
"L5462","1","0","118","1","70","1","0","false"
"L5463","4","0","175","1","70","1","0","false"
"L32211","2","0","154","2","590","8","0","false"
"L33085","5","0","67","1","70","1","0","false"
"L35026","1","0","13","1","590","3","0","false"
"L35027","3","0","46","1","70","1","0","false"
"L35028","1","0","208","2","590","4","0","false"
"L36636","1","0","32","1","590","3","0","false"
"L34232","1","0","40","1","70","1","0","false"
"L5473","6","0","93","2","70","4","0","false"
"L38230","3","0","51","1","70","1","0","false"
"L38312","1","0","56","1","70","1","0","false"
"L38313","1","0","42","0","0","3","0","false"
"L38222","1","0","8","1","70","1","0","false"
"L38225","1","0","9","1","70","1","0","false"
"L38226","2","0","17","1","70","1","0","false"
"L38227","1","0","10","1","70","1","0","false"
"L38295","4","0","21","1","70","1","0","false"
"L38296","3","0","25","1","70","1","0","false"
"L38297","4","0","21","0","0","3","0","false"
"L38299","2","0","16","1","70","1","0","false"
"L38302","4","0","17","1","70","1","0","false"
"L38304","5","0","29","1","590","3","0","false"
"L38305","9","0","37","2","590","3","0","false"
"L38306","1","0","13","1","70","1","0","false"
"L38537","4","0","160","2","70","10","0","false"
"L38538","6","0","85","1","70","1","0","false"
"L38639","11","0","120","1","70","3","0","false"
"L38640","5","0","144","2","590","4","0","false"
"L38641","4","0","69","1","70","1","0","false"
"L34554","1","0","16","1","590","3","0","false"
"L34555","1","0","15","1","590","3","0","false"
"L34209","4","0","68","1","590","3","0","false"
"L34211","12","0","169","1","590","4","0","false"
"L34212","10","0","142","3","590","14","0","false"
"L34216","4","0","117","4","70","12","0","false"
"L41900","6","0","54","1","70","1","0","false"
"L5491","2","0","19","1","590","3","0","false"
"L8654","12","0","150","3","70","12","0","false"
"L8655","2","0","31","1","590","3","0","false"
"L8656","2","0","31","1","590","3","0","false"
"L8657","18","0","160","2","70","8","0","false"
"L8658","13","0","111","1","590","3","0","false"
"L8659","9","0","70","1","70","2","0","false"
"L8660","10","0","71","1","70","2","0","false"
"L8661","5","0","62","2","70","2","0","false"
"L8663","2","0","34","3","70","4","0","false"
"L8664","7","0","81","2","590","5","0","false"
"L8666","5","0","42","1","590","3","0","false"
"L8667","4","0","63","2","70","5","0","false"
"L8668","14","0","116","1","590","3","0","false"
"L8669","7","0","61","3","590","7","0","false"
"L8670","29","0","240","2","590","9","0","false"
"L8671","6","0","65","3","590","8","0","false"
"L8672","2","0","37","1","590","3","0","false"
"L8674","5","0","67","2","70","5","0","false"
"L8676","6","0","39","1","590","3","0","false"
"L9925","5","0","94","2","70","10","1","false"
"L9926","2","0","71","0","0","1","1","false"
"L10488","9","0","131","3","70","5","0","false"
