@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L57592","0","0","0","0","0","0","0","0","2","1","1","18","0","70","116","0","15","1","0.536232","74","74","16","0","0.536232","74","0","0","5","9","0","64","166","8","6","8","6","15","0","15","7","15","23","0","15","7","64","166","8","6","8","6","15","0","15","7","15","23","0","15","7","0","0","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","false"
"L57677","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","2","1","0.56","14","14","3","0","0.56","14","0","0","0","0","0","11","26","2","1","2","1","2","0","2","0","2","3","0","2","0","11","26","2","1","2","1","2","0","2","0","2","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L26094","0","0","0","0","0","0","0","0","1","0","0","6","0","8","8","0","6","0.571429","0.355556","16","16","4","3","0.355556","16","0","0","0","0","0","29","55","3","1","3","1","6","0","6","0","6","9","0","6","0","29","55","3","1","3","1","6","0","6","0","6","9","0","6","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
"L24267","0","0","0","0","0","0","0","0","3","1","1","25","0","26","209","0","21","0.952381","0.705882","120","119","20","1","0.705882","120","0","0","2","2","0","50","209","3","2","3","2","21","0","20","1","21","13","0","20","1","50","209","3","2","3","2","21","0","20","1","21","13","0","20","1","0","0","8","2","1","0","0","0","1","0","0","1","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","false"
"L57803","0.893249","15","80","16","0.578495","0.847682","269","256","1","3","3","95","1","5","37","3","22","0.95","0.297674","128","114","19","1","0.297674","128","1","1","0","0","1","302","465","5","2","2","1","19","0","19","1","24","190","0","23","1","302","465","5","2","2","1","19","0","19","1","24","190","0","23","1","0","0","99","6","2","0","0","0","1","89","0","0","0","0","0","0","0","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","0","0","false"
"L57525","0.790581","15","97","20","0.524735","0.756684","297","283","1","3","3","120","1","2","40","3","26","0.956522","0.284895","149","133","22","1","0.284895","149","1","1","0","0","1","374","566","5","2","2","1","23","0","22","1","28","238","0","26","1","374","566","5","2","2","1","23","0","22","1","28","238","0","26","1","0","0","117","7","2","0","0","0","1","101","0","0","0","1","0","0","0","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","1","0","0","false"
"L57370","0","0","0","0","0","0","0","0","1","0","0","5","0","2","3","0","5","0.5","0.405405","15","15","3","3","0.405405","15","0","0","0","0","0","22","42","2","1","2","1","5","0","5","0","5","5","0","5","0","22","42","2","1","2","1","5","0","5","0","5","5","0","5","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L57336","0","0","0","0","0","0","0","0","1","2","2","4","2","3","1","2","3","0.5","0.117647","4","4","1","1","0.117647","4","1","1","0","0","1","30","32","1","0","1","0","1","0","1","0","1","21","0","1","0","30","32","1","0","1","0","1","0","1","0","1","21","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L58100","0.912127","6","37","9","0.87218","0.863248","116","101","1","3","2","18","2","1","1","2","3","0.5","0.0859375","11","4","1","1","0.0859375","11","1","1","0","0","1","117","133","0","0","0","0","1","0","1","0","1","103","0","1","0","117","133","0","0","0","0","1","0","1","0","1","103","0","1","0","0","0","23","0","0","0","0","0","0","13","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","false"
"L57365","0.235772","2","4","2","0.25","0.255814","13","11","1","3","3","8","2","2","1","2","3","1","0.14","7","5","2","0","0.14","7","1","1","0","0","1","43","52","0","0","0","0","1","0","1","0","1","38","0","1","0","43","52","0","0","0","0","1","0","1","0","1","38","0","1","0","0","0","15","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L58114","0","0","0","0","0","0","0","0","1","4","4","77","1","1","0","1","14","0.333333","0.174927","60","23","3","6","0.174927","60","0","0","0","0","0","283","413","8","4","8","4","13","2","8","0","13","195","2","8","0","283","413","8","4","8","4","13","2","8","0","13","195","2","8","0","0","2","40","5","65","0","1","10","0","0","0","0","0","5","3","0","0","51","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","10","0","0","0","0","0","false"
