"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L117","ExecutionEngine.java","community/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionEngine.java","L116","1","0","21","30","0","9","1634","0"
"L118","ExecutionResult.java","community/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionResult.java","L116","1","0","35","20","0","8","54","0"
"L119","package-info.java","community/cypher/src/main/java/org/neo4j/cypher/javacompat/package-info.java","L116","1","0","1","3","0","2","54","0"
"L126","GraphImpl.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/GraphImpl.java","L125","1","0","41","6","0","6","54","0"
"L127","IntroExamplesTest.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/IntroExamplesTest.java","L125","2","0","89","28","0","11","2472","0"
"L128","JavaExecutionEngineTests.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaExecutionEngineTests.java","L125","3","0","221","76","0","14","2472","0"
"L129","JavaQuery.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaQuery.java","L125","4","0","64","17","0","9","2319","0"
"L130","JavaQueryTest.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaQueryTest.java","L125","1","0","32","13","0","6","7","0"
"L131","RegularExpressionMatcher.java","community/cypher/src/test/java/org/neo4j/cypher/javacompat/RegularExpressionMatcher.java","L125","1","0","31","4","0","4","54","0"
"L571","CalculateShortestPath.java","community/embedded-examples/src/main/java/org/neo4j/examples/CalculateShortestPath.java","L570","6","0","96","6","0","5","7","0"
"L572","CypherSql.java","community/embedded-examples/src/main/java/org/neo4j/examples/CypherSql.java","L570","17","0","523","3","0","2","3997","0"
"L573","EmbeddedNeo4j.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4j.java","L570","2","0","101","16","0","7","2472","0"
"L574","EmbeddedNeo4jWithIndexing.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4jWithIndexing.java","L570","3","0","91","14","0","9","2319","0"
"L575","Matrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/Matrix.java","L570","7","0","183","11","0","9","2319","0"
"L576","Neo4jShell.java","community/embedded-examples/src/main/java/org/neo4j/examples/Neo4jShell.java","L570","9","0","180","22","0","8","2319","0"
"L577","NewMatrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/NewMatrix.java","L570","6","0","177","12","0","8","2319","0"
"L578","TraversalExample.java","community/embedded-examples/src/main/java/org/neo4j/examples/TraversalExample.java","L570","7","0","89","2","0","2","54","0"
