@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L117","1","0","21","30","0","9","1634","false"
"L118","1","0","35","20","0","8","54","false"
"L119","1","0","1","3","0","2","54","false"
"L126","1","0","41","6","0","6","54","false"
"L127","2","0","89","28","0","11","2472","false"
"L128","3","0","221","76","0","14","2472","false"
"L129","4","0","64","17","0","9","2319","false"
"L130","1","0","32","13","0","6","7","false"
"L131","1","0","31","4","0","4","54","false"
"L571","6","0","96","6","0","5","7","false"
"L572","17","0","523","3","0","2","3997","false"
"L573","2","0","101","16","0","7","2472","false"
"L574","3","0","91","14","0","9","2319","false"
"L575","7","0","183","11","0","9","2319","false"
"L576","9","0","180","22","0","8","2319","false"
"L577","6","0","177","12","0","8","2319","false"
"L578","7","0","89","2","0","2","54","false"
"L1392","7","0","133","8","0","4","7","false"
"L1497","5","0","58","5","0","4","1634","false"
"L1498","14","0","293","8","0","5","2319","false"
"L1499","7","0","118","3","0","3","2319","false"
"L1500","1","0","10","1","0","1","3997","false"
"L1501","1","0","48","8","0","5","2319","false"
"L584","2","0","59","20","0","9","7","false"
"L585","1","0","71","30","0","9","2472","false"
"L586","5","0","69","8","0","4","2472","false"
"L587","1","0","28","13","0","7","7","false"
"L588","1","0","31","6","0","5","54","false"
"L589","13","0","182","6","0","4","5350","false"
"L590","2","0","39","15","0","7","7","false"
"L591","1","0","49","15","0","7","7","false"
"L592","2","0","61","22","0","9","7","false"
"L593","7","0","174","11","0","7","7","false"
"L594","3","0","143","40","0","9","2472","false"
"L595","1","0","19","6","0","6","7","false"
"L596","1","0","53","11","0","7","7","false"
"L597","4","0","70","17","0","9","7","false"
"L1394","2","0","53","19","0","11","7","false"
"L1503","14","0","250","3","0","3","1296","false"
"L2234","2","0","74","6","0","4","268","false"
"L2235","1","0","89","9","0","4","268","false"
"L2505","5","0","155","9","0","5","5350","false"
"L2506","2","0","38","4","0","3","1126","false"
"L2507","4","0","67","4","0","3","1126","false"
"L2598","1","0","36","3","0","3","2472","false"
"L2599","1","0","27","7","0","3","5350","false"
"L2600","4","0","45","7","0","3","5350","false"
"L2708","1","0","27","6","0","3","5350","false"
"L71786","15","0","240","7","0","4","54","false"
"L71787","6","0","59","4","0","2","54","false"
"L71788","1","0","7","4","0","2","54","false"
"L71789","7","0","90","4","0","2","54","false"
"L71790","13","0","146","18","0","8","2319","false"
"L71791","19","0","197","7","0","5","2319","false"
"L71792","1","0","86","4","0","2","54","false"
"L2727","1","0","25","7","0","4","54","false"
"L2728","1","0","5","4","0","2","54","false"
"L2729","1","0","7","4","0","2","54","false"
"L2730","1","0","6","4","0","2","54","false"
"L2731","1","0","98","10","0","5","5350","false"
"L2732","1","0","5","4","0","2","54","false"
"L2733","1","0","1","4","0","2","54","false"
"L2734","1","0","10","7","0","5","2319","false"
"L2735","1","0","6","4","0","2","54","false"
"L2950","11","0","60","9","0","4","1126","false"
"L3021","7","0","76","4","0","2","54","false"
"L3022","6","0","60","4","0","2","54","false"
"L3023","1","0","7","4","0","2","54","false"
"L3024","7","0","54","4","0","2","54","false"
"L3025","1","0","8","4","0","2","54","false"
"L3026","52","0","303","4","0","2","54","false"
"L3027","27","0","182","4","0","2","54","false"
"L3028","4","0","45","4","0","2","54","false"
"L3029","4","0","45","4","0","2","54","false"
"L3030","1","0","1","4","0","2","54","false"
"L3031","5","0","50","4","0","2","54","false"
"L3032","5","0","72","4","0","2","54","false"
"L3033","7","0","74","4","0","2","54","false"
"L3523","1","0","39","7","0","5","2319","false"
"L3524","1","0","20","7","0","5","2319","false"
"L3525","19","0","273","7","0","5","2319","false"
"L3526","3","0","95","9","0","5","5350","false"
"L3527","1","0","51","7","0","5","2319","false"
"L3528","50","0","538","15","0","5","2319","false"
"L3529","2","0","104","3","0","3","2319","false"
"L3530","3","0","38","3","0","3","2319","false"
"L3531","1","0","53","3","0","3","2319","false"
"L4376","91","0","552","4","0","2","54","false"
"L4377","1","0","10","4","0","2","54","false"
"L4378","9","0","92","4","0","2","54","false"
"L4379","9","0","85","4","0","2","54","false"
"L4380","17","0","138","4","0","2","54","false"
"L4381","1","0","1","4","0","2","54","false"
"L4382","1","0","24","4","0","2","54","false"
"L4383","27","0","223","4","0","2","54","false"
"L4384","22","0","225","4","0","2","54","false"
"L4385","1","0","22","4","0","2","54","false"
"L4386","40","0","282","4","0","2","54","false"
"L5141","5","0","81","9","0","6","2319","false"
"L5142","1","0","8","4","0","2","54","false"
"L5143","3","0","9","4","0","2","54","false"
"L5144","3","0","27","6","0","4","54","false"
"L5145","1","0","19","6","0","4","54","false"
"L5146","26","0","245","8","0","5","54","false"
"L5147","3","0","52","4","0","2","54","false"
"L5148","1","0","8","4","0","2","54","false"
"L5149","1","0","8","4","0","2","54","false"
"L5150","1","0","17","4","0","2","54","false"
"L5151","8","0","62","9","0","6","2319","false"
"L5152","26","0","199","4","0","2","54","false"
"L5153","21","0","285","11","0","6","2319","false"
"L5154","9","0","194","4","0","2","54","false"
"L5155","4","0","33","4","0","2","54","false"
"L5156","2","0","76","7","0","5","2319","false"
"L2741","1","0","59","4","0","2","54","false"
"L5916","1","0","141","4","0","2","54","false"
"L5917","1","0","85","4","0","2","54","false"
"L5918","1","0","72","4","0","2","54","false"
"L5919","1","0","30","9","0","5","54","false"
"L5920","1","0","19","4","0","2","54","false"
"L5921","4","0","131","4","0","2","54","false"
"L5922","1","0","56","4","0","2","54","false"
"L5923","1","0","56","4","0","2","54","false"
"L5924","1","0","85","8","0","5","54","false"
"L5925","1","0","105","4","0","2","54","false"
"L6265","8","0","116","4","0","2","3997","false"
"L6266","1","0","42","6","0","4","2319","false"
"L6267","1","0","39","3","0","1","3997","false"
"L6268","9","0","137","4","0","2","3997","false"
"L6269","11","0","181","9","0","3","5350","false"
"L6270","1","0","50","3","0","1","3997","false"
"L6271","7","0","356","26","0","7","2472","false"
"L6560","2","0","131","3","0","1","3997","false"
"L6561","2","0","94","3","0","1","3997","false"
"L6562","20","0","329","3","0","1","3997","false"
"L6563","1","0","48","3","0","1","3997","false"
"L6564","1","0","88","3","0","1","3997","false"
"L6565","1","0","99","3","0","1","3997","false"
"L6566","1","0","22","3","0","1","3997","false"
"L6567","1","0","42","3","0","1","3997","false"
"L6568","1","0","96","3","0","1","3997","false"
"L2953","1","0","110","5","0","4","1126","false"
"L5158","1","0","44","6","0","4","54","false"
"L72135","11","0","219","12","0","7","7","false"
"L72363","15","0","240","9","0","7","7","false"
"L72364","58","0","703","18","0","7","7","false"
"L6818","3","0","50","9","0","5","1634","false"
"L6819","3","0","27","5","0","4","3997","false"
"L6820","11","0","100","5","0","4","3997","false"
"L6821","13","0","101","5","0","4","3997","false"
"L6822","1","0","2","6","0","4","3997","false"
"L6823","2","0","52","11","0","7","7","false"
"L6824","48","0","393","12","0","7","7","false"
"L6825","1","0","19","5","0","4","3997","false"
"L6826","8","0","69","5","0","4","3997","false"
"L6827","17","0","187","5","0","4","3997","false"
"L6828","10","0","144","9","0","5","1634","false"
"L6829","8","0","120","5","0","4","3997","false"
"L6830","6","0","101","5","0","4","3997","false"
"L6831","3","0","30","5","0","4","3997","false"
"L6832","1","0","8","5","0","4","3997","false"
"L6967","1","0","22","5","0","4","3997","false"
"L6968","9","0","58","5","0","4","3997","false"
"L6969","4","0","29","5","0","4","3997","false"
"L6970","1","0","6","6","0","4","3997","false"
"L6971","1","0","7","5","0","4","3997","false"
"L6972","1","0","2","3","0","2","3997","false"
"L6973","5","0","33","5","0","4","3997","false"
"L7733","1","0","11","6","0","5","3997","false"
"L7734","1","0","6","6","0","5","3997","false"
"L7735","4","0","115","6","0","5","3997","false"
"L7736","16","0","83","6","0","5","3997","false"
"L7737","11","0","83","10","0","6","3997","false"
"L7738","4","0","50","6","0","5","3997","false"
"L9718","1","0","10","5","0","4","1636","false"
"L9719","7","0","59","6","0","5","5350","false"
"L7741","7","0","173","62","0","11","1404","false"
"L7883","3","0","134","4","0","4","7","false"
"L7884","1","0","37","15","0","10","7","false"
"L7885","28","0","259","5","0","4","1636","false"
"L7886","2","0","32","13","0","9","7","false"
"L7887","7","0","45","8","0","5","1296","false"
"L7888","11","0","215","14","0","9","7","false"
"L7889","12","0","159","11","0","7","533","false"
"L7890","1","0","63","5","0","4","1636","false"
"L7891","2","0","45","5","0","4","1636","false"
"L7892","1","0","7","5","0","4","1636","false"
"L7893","1","0","6","5","0","4","1636","false"
"L7894","1","0","8","5","0","4","1636","false"
"L7895","1","0","5","5","0","4","1636","false"
"L7896","1","0","6","5","0","4","1636","false"
"L7897","1","0","8","5","0","4","1636","false"
"L7898","15","0","141","13","0","10","2472","false"
"L7899","1","0","23","5","0","5","7","false"
"L7900","1","0","23","5","0","4","1636","false"
"L7901","11","0","440","13","0","9","7","false"
"L7902","1","0","6","5","0","4","1636","false"
"L8045","8","0","134","5","0","5","7","false"
"L8046","3","0","30","4","0","4","7","false"
"L8047","1","0","19","8","0","4","7","false"
"L8048","1","0","7","4","0","4","7","false"
"L8049","6","0","51","4","0","4","7","false"
"L8050","1","0","25","5","0","5","7","false"
"L8051","1","0","23","5","0","5","7","false"
"L7909","1","0","19","7","0","4","1634","false"
"L7910","2","0","87","1","0","1","533","false"
"L7911","1","0","73","13","0","8","7","false"
"L9769","1","0","13","3","0","3","3997","false"
"L9770","9","0","48","15","0","7","7","false"
"L9771","1","0","26","5","0","4","5350","false"
"L9772","1","0","11","3","0","3","3997","false"
"L9773","1","0","1","3","0","3","3997","false"
"L9774","1","0","15","3","0","3","3997","false"
"L9804","12","0","190","14","0","8","2472","false"
"L9805","15","0","126","26","0","8","1634","false"
"L9806","2","0","86","19","0","9","7","false"
"L9807","6","0","65","14","0","8","1296","false"
"L9808","3","0","36","6","0","5","5350","false"
"L9809","7","0","96","6","0","5","5350","false"
"L9810","17","0","129","8","0","6","5350","false"
"L9811","1","0","48","11","0","8","7","false"
"L9780","4","0","61","10","0","7","7","false"
"L9813","1","0","9","5","0","5","2472","false"
"L72137","1","0","101","4","0","3","5350","false"
"L10508","1","0","6","4","0","3","1634","false"
"L10509","4","0","22","2","0","1","3997","false"
"L10510","2","0","37","2","0","1","3997","false"
"L10511","1","0","12","11","0","8","2472","false"
"L10512","1","0","27","12","0","5","2319","false"
"L10513","1","0","5","2","0","2","3997","false"
"L10514","1","0","35","14","0","5","2319","false"
"L10515","1","0","20","2","0","1","3997","false"
"L10516","1","0","20","2","0","1","3997","false"
"L10517","1","0","1","2","0","1","3997","false"
"L10518","1","0","16","5","0","4","2319","false"
