@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L115","1","0","11","13","0","9","665","false"
"L116","1","0","30","10","0","6","665","false"
"L117","1","0","20","18","0","11","665","false"
"L118","1","0","21","21","0","8","665","false"
"L119","5","0","91","21","0","8","665","false"
"L120","1","0","20","11","0","7","665","false"
"L121","1","0","26","21","0","9","665","false"
"L122","1","0","20","17","0","9","665","false"
"L123","14","0","92","13","0","7","665","false"
"L124","1","0","12","12","0","7","665","false"
"L125","26","0","318","20","0","9","665","false"
"L126","1","0","1","11","0","5","665","false"
"L127","1","0","7","12","0","7","665","false"
"L128","1","0","21","16","0","9","665","false"
"L129","1","0","63","10","0","5","665","false"
"L130","1","0","11","12","0","7","665","false"
"L131","1","0","35","14","0","8","665","false"
"L337","3","0","31","13","0","7","665","false"
"L338","8","0","130","13","0","7","665","false"
"L339","2","0","71","25","0","11","665","false"
"L340","2","0","70","22","0","11","665","false"
"L341","35","0","238","20","0","11","665","false"
"L342","18","0","183","15","0","7","665","false"
"L343","1","0","61","29","0","13","1296","false"
"L344","2","0","71","20","0","9","665","false"
"L345","2","0","68","21","0","11","665","false"
"L346","5","0","80","21","0","11","665","false"
"L852","4","0","55","10","0","5","665","false"
"L853","1","0","20","12","0","7","665","false"
"L854","1","0","19","12","0","7","665","false"
"L855","4","0","42","11","0","7","665","false"
"L856","12","0","107","13","0","7","665","false"
"L857","1","0","5","10","0","5","665","false"
"L858","2","0","24","10","0","5","665","false"
"L137","3","0","119","17","0","9","665","false"
"L138","4","0","122","22","0","11","665","false"
"L139","4","0","158","35","0","15","1296","false"
"L140","5","0","67","25","0","10","5350","false"
"L348","1","0","72","15","0","9","665","false"
"L2092","1","0","11","16","0","7","5350","false"
"L2093","1","0","29","20","0","7","5350","false"
"L2158","2","0","34","12","0","7","665","false"
"L2159","1","0","4","10","0","5","665","false"
"L2189","4","0","50","23","0","10","5350","false"
"L2100","1","0","15","13","0","8","665","false"
"L2101","1","0","40","31","0","13","5350","false"
"L2256","2","0","69","14","0","6","5350","false"
"L2339","1","0","75","8","0","6","665","false"
"L2045","31","0","579","101","1","17","5350","false"
"L2046","12","0","175","55","0","12","5350","false"
"L2047","1","0","9","8","0","4","5350","false"
"L2048","1","0","82","27","0","11","5350","false"
"L2049","4","0","123","9","0","3","5350","false"
"L2050","5","0","40","12","0","7","5350","false"
"L2051","1","0","20","6","0","2","5350","false"
"L2052","1","0","21","31","0","9","2319","false"
"L2053","1","0","19","10","0","5","2319","false"
"L2054","2","0","28","26","0","9","5350","false"
"L2055","1","0","16","11","0","6","5350","false"
"L2056","1","0","34","14","0","6","5350","false"
"L2057","1","0","29","36","0","11","5350","false"
"L5069","2","0","28","13","0","7","5350","false"
"L5070","2","0","28","13","0","7","5350","false"
"L5071","2","0","28","13","0","7","5350","false"
"L5072","1","0","11","13","0","7","5350","false"
"L5073","2","0","28","13","0","7","5350","false"
"L5074","2","0","28","13","0","7","5350","false"
"L5075","2","0","28","13","0","7","5350","false"
"L5076","4","0","28","13","0","7","5350","false"
"L5077","2","0","28","13","0","7","5350","false"
"L5078","1","0","18","5","0","3","5350","false"
"L5079","1","0","16","12","0","6","5350","false"
"L5080","4","0","31","12","0","6","5350","false"
"L5081","1","0","16","10","0","6","5350","false"
"L5082","1","0","20","4","0","3","268","false"
"L5083","17","0","152","48","0","13","5350","false"
"L5084","9","0","69","22","0","9","2472","false"
"L5085","29","0","207","17","0","7","1636","false"
"L5086","1","0","16","12","0","6","5350","false"
"L5087","4","0","27","12","0","6","5350","false"
"L5088","27","0","221","7","0","4","2319","false"
"L5089","2","0","28","12","0","6","5350","false"
"L5090","1","0","13","10","0","5","5350","false"
"L5091","1","0","8","9","0","6","2319","false"
"L5092","1","0","16","12","0","6","5350","false"
"L5093","1","0","14","12","0","6","5350","false"
"L5094","1","0","16","12","0","6","5350","false"
"L5095","4","0","40","15","0","6","5350","false"
"L18632","1","0","20","7","0","5","268","false"
"L18633","5","0","132","97","0","18","1296","false"
"L18634","1","0","9","6","0","4","2319","false"
"L18635","1","0","35","6","0","2","2319","false"
"L18636","20","0","187","59","0","16","5350","false"
"L18637","1","0","32","33","0","12","5350","false"
"L18638","1","0","19","6","0","4","2319","false"
"L19035","8","0","153","22","0","10","5350","false"
"L19036","1","0","29","12","0","6","5350","false"
"L19037","1","0","18","1","0","1","268","false"
"L19038","1","0","17","91","0","15","5350","false"
"L19039","1","0","18","9","0","5","268","false"
"L19040","1","0","7","12","0","7","5350","false"
"L19041","1","0","19","11","0","7","268","false"
"L19042","2","0","41","2","0","2","2319","false"
"L19043","1","0","26","2","0","1","5350","false"
"L19044","2","0","44","16","0","7","5350","false"
"L19253","9","0","71","21","0","11","828","false"
"L19374","9","0","156","16","0","7","5350","false"
"L19375","2","0","13","12","0","7","7","false"
"L19376","1","0","35","12","0","6","5350","false"
"L19500","1","0","33","35","0","10","5350","false"
"L19501","7","0","61","2","0","2","268","false"
"L19502","1","0","53","43","0","11","5350","false"
"L19503","1","0","33","6","0","4","5350","false"
"L19504","6","0","117","44","0","11","5350","false"
"L19505","5","0","59","17","0","7","5350","false"
"L19506","1","0","6","25","0","9","5350","false"
"L19507","3","0","38","22","0","10","5350","false"
"L19508","4","0","56","40","0","12","5350","false"
"L19509","1","0","27","51","0","14","5350","false"
"L19757","7","0","76","1","0","1","2319","false"
"L19758","8","0","91","3","0","3","2472","false"
"L19759","4","0","54","7","0","3","5350","false"
"L19760","6","0","94","21","0","8","5350","false"
"L19761","1","0","10","1","0","1","2319","false"
"L19762","1","0","6","1","0","1","2319","false"
"L19763","5","0","35","7","0","3","5350","false"
"L20102","1","0","5","3","0","2","1296","false"
"L20103","1","0","5","17","0","8","1296","false"
"L20104","1","0","21","10","0","6","224","false"
"L20105","20","0","264","71","0","14","5350","false"
"L20106","3","0","22","19","0","8","2319","false"
"L20107","1","0","5","11","0","6","2319","false"
"L20108","4","0","33","12","0","9","412","false"
"L20109","1","0","8","8","0","6","2319","false"
"L20110","2","0","31","25","0","9","5350","false"
"L20111","1","0","10","8","0","4","2319","false"
"L20112","1","0","4","4","0","3","5350","false"
"L20113","1","0","5","4","0","2","1126","false"
"L20559","1","0","11","2","0","2","2472","false"
"L20560","1","0","8","2","0","2","2472","false"
"L20561","1","0","11","2","0","2","2472","false"
"L20562","2","0","21","2","0","2","2472","false"
"L20563","1","0","39","2","0","2","2472","false"
"L20729","7","0","95","10","1","6","412","false"
"L20730","1","0","20","3","0","3","1126","false"
"L20731","10","0","132","8","0","6","412","false"
"L20732","1","0","21","11","0","6","5350","false"
"L20946","1","0","39","17","0","6","5350","false"
"L20947","11","0","99","14","0","6","1296","false"
"L20948","3","0","53","6","0","5","2319","false"
"L20949","1","0","50","2","0","2","2319","false"
"L20950","4","0","63","10","0","5","5350","false"
"L21099","1","0","32","4","0","3","5350","false"
"L21100","3","0","28","5","0","4","1636","false"
"L21101","1","0","20","1","0","1","268","false"
"L21102","6","0","87","7","0","5","2319","false"
"L21103","30","0","466","20","0","10","5350","false"
"L21104","1","0","25","6","0","4","2319","false"
"L21105","1","0","34","2","0","2","2319","false"
"L21106","3","0","41","35","0","13","5350","false"
"L21107","5","0","30","4","0","3","1126","false"
"L21108","1","0","37","69","0","16","1636","false"
"L21109","1","0","19","5","0","4","268","false"
"L2342","1","0","6","3","0","2","1126","false"
"L2343","13","0","178","14","0","9","2319","false"
"L2344","4","0","85","9","0","6","1296","false"
"L2345","1","0","25","13","0","7","2319","false"
"L2346","4","0","64","3","0","2","2319","false"
