"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L115","Bootstrap.java","src/main/java/org/jboss/netty/bootstrap/Bootstrap.java","L114","24","0","289","0","26","4057","1","0"
"L116","ClientBootstrap.java","src/main/java/org/jboss/netty/bootstrap/ClientBootstrap.java","L114","6","0","51","0","30","1","2","0"
"L117","ConnectionlessBootstrap.java","src/main/java/org/jboss/netty/bootstrap/ConnectionlessBootstrap.java","L114","10","0","80","0","15","4057","1","0"
"L118","package-info.java","src/main/java/org/jboss/netty/bootstrap/package-info.java","L114","1","0","1","0","5","4057","1","0"
"L119","ServerBootstrap.java","src/main/java/org/jboss/netty/bootstrap/ServerBootstrap.java","L114","13","0","142","0","38","4057","1","0"
"L950","AbstractChannelBuffer.java","src/main/java/org/jboss/netty/buffer/AbstractChannelBuffer.java","L949","40","0","561","0","35","4057","1","0"
"L951","AbstractChannelBufferFactory.java","src/main/java/org/jboss/netty/buffer/AbstractChannelBufferFactory.java","L949","2","0","26","0","6","4057","1","0"
"L952","BigEndianHeapChannelBuffer.java","src/main/java/org/jboss/netty/buffer/BigEndianHeapChannelBuffer.java","L949","4","0","91","0","10","4057","1","0"
"L953","ByteBufferBackedChannelBuffer.java","src/main/java/org/jboss/netty/buffer/ByteBufferBackedChannelBuffer.java","L949","32","0","292","0","29","4057","1","0"
"L954","ChannelBuffer.java","src/main/java/org/jboss/netty/buffer/ChannelBuffer.java","L949","1","0","139","0","49","4057","1","0"
"L955","ChannelBufferFactory.java","src/main/java/org/jboss/netty/buffer/ChannelBufferFactory.java","L949","1","0","11","0","7","4057","1","0"
"L956","ChannelBufferIndexFinder.java","src/main/java/org/jboss/netty/buffer/ChannelBufferIndexFinder.java","L949","5","0","68","0","9","4057","1","0"
"L957","ChannelBufferInputStream.java","src/main/java/org/jboss/netty/buffer/ChannelBufferInputStream.java","L949","14","0","163","0","9","4057","1","0"
"L958","ChannelBufferOutputStream.java","src/main/java/org/jboss/netty/buffer/ChannelBufferOutputStream.java","L949","6","0","88","0","8","4057","1","0"
"L959","ChannelBuffers.java","src/main/java/org/jboss/netty/buffer/ChannelBuffers.java","L949","126","0","679","0","43","4057","1","0"
"L960","CompositeChannelBuffer.java","src/main/java/org/jboss/netty/buffer/CompositeChannelBuffer.java","L949","73","0","562","0","38","4057","1","0"
"L961","DirectChannelBufferFactory.java","src/main/java/org/jboss/netty/buffer/DirectChannelBufferFactory.java","L949","20","0","136","0","12","4057","1","0"
"L962","DuplicatedChannelBuffer.java","src/main/java/org/jboss/netty/buffer/DuplicatedChannelBuffer.java","L949","2","0","154","0","18","4057","1","0"
"L963","DynamicChannelBuffer.java","src/main/java/org/jboss/netty/buffer/DynamicChannelBuffer.java","L949","10","0","249","0","28","4057","1","0"
"L964","HeapChannelBuffer.java","src/main/java/org/jboss/netty/buffer/HeapChannelBuffer.java","L949","16","0","160","0","22","4057","1","0"
"L965","HeapChannelBufferFactory.java","src/main/java/org/jboss/netty/buffer/HeapChannelBufferFactory.java","L949","5","0","48","0","7","4057","1","0"
"L966","LittleEndianHeapChannelBuffer.java","src/main/java/org/jboss/netty/buffer/LittleEndianHeapChannelBuffer.java","L949","4","0","91","0","10","4057","1","0"
"L967","package-info.java","src/main/java/org/jboss/netty/buffer/package-info.java","L949","1","0","1","0","4","4057","1","0"
"L968","ReadOnlyChannelBuffer.java","src/main/java/org/jboss/netty/buffer/ReadOnlyChannelBuffer.java","L949","3","0","167","0","20","4057","1","0"
"L969","SlicedChannelBuffer.java","src/main/java/org/jboss/netty/buffer/SlicedChannelBuffer.java","L949","10","0","202","0","21","4057","1","0"
"L970","TruncatedChannelBuffer.java","src/main/java/org/jboss/netty/buffer/TruncatedChannelBuffer.java","L949","7","0","194","0","21","4057","1","0"
"L971","WrappedChannelBuffer.java","src/main/java/org/jboss/netty/buffer/WrappedChannelBuffer.java","L949","1","0","4","0","8","4057","1","0"
"L4025","AbstractChannel.java","src/main/java/org/jboss/netty/channel/AbstractChannel.java","L4024","19","0","226","0","21","4057","1","0"
"L4026","AbstractChannelSink.java","src/main/java/org/jboss/netty/channel/AbstractChannelSink.java","L4024","2","0","16","0","7","4057","1","0"
"L4027","AbstractServerChannel.java","src/main/java/org/jboss/netty/channel/AbstractServerChannel.java","L4024","1","0","41","0","10","4057","1","0"
"L4028","AdaptiveReceiveBufferSizePredictor.java","src/main/java/org/jboss/netty/channel/AdaptiveReceiveBufferSizePredictor.java","L4024","13","0","108","0","8","4057","1","0"
"L4029","AdaptiveReceiveBufferSizePredictorFactory.java","src/main/java/org/jboss/netty/channel/AdaptiveReceiveBufferSizePredictorFactory.java","L4024","4","0","30","0","3","4057","1","0"
"L4030","Channel.java","src/main/java/org/jboss/netty/channel/Channel.java","L4024","1","0","38","0","26","4057","1","0"
"L4031","ChannelConfig.java","src/main/java/org/jboss/netty/channel/ChannelConfig.java","L4024","1","0","18","0","22","4057","1","0"
"L4032","ChannelDownstreamHandler.java","src/main/java/org/jboss/netty/channel/ChannelDownstreamHandler.java","L4024","1","0","4","0","25","4057","1","0"
"L4033","ChannelEvent.java","src/main/java/org/jboss/netty/channel/ChannelEvent.java","L4024","1","0","11","0","15","4057","1","0"
"L4034","ChannelException.java","src/main/java/org/jboss/netty/channel/ChannelException.java","L4024","1","0","16","0","5","4057","1","0"
"L4035","ChannelFactory.java","src/main/java/org/jboss/netty/channel/ChannelFactory.java","L4024","1","0","10","0","15","4057","1","0"
"L4036","ChannelFuture.java","src/main/java/org/jboss/netty/channel/ChannelFuture.java","L4024","1","0","23","0","19","4057","1","0"
"L4037","ChannelFutureListener.java","src/main/java/org/jboss/netty/channel/ChannelFutureListener.java","L4024","2","0","19","0","13","4057","1","0"
"L4038","ChannelFutureProgressListener.java","src/main/java/org/jboss/netty/channel/ChannelFutureProgressListener.java","L4024","1","0","4","0","2","4057","1","0"
"L4039","ChannelHandler.java","src/main/java/org/jboss/netty/channel/ChannelHandler.java","L4024","1","0","17","0","22","4057","1","0"
"L4040","ChannelHandlerContext.java","src/main/java/org/jboss/netty/channel/ChannelHandlerContext.java","L4024","1","0","13","0","33","2","2","0"
"L4041","ChannelHandlerLifeCycleException.java","src/main/java/org/jboss/netty/channel/ChannelHandlerLifeCycleException.java","L4024","1","0","16","0","5","4057","1","0"
"L4042","ChannelLocal.java","src/main/java/org/jboss/netty/channel/ChannelLocal.java","L4024","11","0","60","0","16","4057","1","0"
"L4043","ChannelPipeline.java","src/main/java/org/jboss/netty/channel/ChannelPipeline.java","L4024","1","0","39","0","34","4057","1","0"
"L4044","ChannelPipelineException.java","src/main/java/org/jboss/netty/channel/ChannelPipelineException.java","L4024","1","0","16","0","5","4057","1","0"
"L4045","ChannelPipelineFactory.java","src/main/java/org/jboss/netty/channel/ChannelPipelineFactory.java","L4024","1","0","7","0","9","4057","1","0"
"L4046","Channels.java","src/main/java/org/jboss/netty/channel/Channels.java","L4024","17","0","282","0","35","4057","1","0"
"L4047","ChannelSink.java","src/main/java/org/jboss/netty/channel/ChannelSink.java","L4024","1","0","5","0","5","4057","1","0"
"L4048","ChannelState.java","src/main/java/org/jboss/netty/channel/ChannelState.java","L4024","1","0","8","0","13","4057","1","0"
"L4049","ChannelStateEvent.java","src/main/java/org/jboss/netty/channel/ChannelStateEvent.java","L4024","1","0","5","0","7","4057","1","0"
