@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","56","0","697","0","14","1649","4","true"
"L115","1","0","156","0","12","1649","4","true"
"L116","5","0","68","0","3","72","2","false"
"L117","15","0","167","0","3","72","2","false"
"L118","6","0","88","0","3","72","2","false"
"L119","52","0","267","0","2","72","2","false"
"L120","1","0","5","0","3","72","2","true"
"L121","1","0","5","0","2","72","2","false"
"L122","1","0","22","0","42","1649","5","false"
"L123","153","0","1062","0","12","1649","4","true"
"L124","5","0","47","0","3","72","2","true"
"L125","40","0","374","0","8","1649","4","false"
"L126","2","0","191","0","10","1649","4","true"
"L127","21","0","273","0","13","1649","4","false"
"L128","1","0","7","0","2","72","2","false"
"L129","1","0","1","0","7","72","2","false"
"L130","6","0","123","0","3","72","2","true"
"L131","1","0","169","0","10","1649","4","true"
"L132","12","0","255","0","12","1649","4","true"
"L133","9","0","584","0","9","1649","4","true"
"L134","95","0","493","0","10","72","2","true"
"L135","1","0","4","0","2","72","2","true"
"L141","120","0","1358","0","16","72","3","false"
"L142","4","0","299","0","27","72","4","false"
"L143","1","0","6","0","6","72","2","false"
"L144","1","0","17","0","8","72","2","false"
"L145","1","0","20","0","11","72","2","false"
"L146","1","0","40","0","8","72","2","false"
"L147","17","0","429","0","16","72","3","false"
"L148","9","0","124","0","13","72","3","false"
"L149","1","0","20","0","7","72","2","false"
"L150","1","0","6","0","6","72","2","false"
"L151","1","0","17","0","8","72","2","false"
"L152","1","0","16","0","8","72","2","false"
"L153","1","0","129","0","13","72","2","false"
"L154","1","0","23","0","7","72","2","false"
"L3774","1","0","50","0","4","72","2","true"
"L3775","10","0","58","1","7","72","3","true"
"L3776","5","0","31","0","6","72","2","true"
"L3777","1","0","53","0","4","72","2","false"
"L3778","16","0","104","0","10","72","2","true"
"L3779","1","0","15","0","3","72","2","false"
"L3780","14","0","54","0","7","72","2","false"
"L3781","1","0","15","0","4","72","2","false"
"L3782","1","0","15","0","3","72","2","false"
"L3783","25","0","159","0","8","72","2","false"
"L3784","1","0","17","0","6","72","2","false"
"L3785","1","0","15","0","3","72","2","false"
"L3786","4","0","35","0","14","72","2","true"
"L3787","29","0","176","0","10","72","2","true"
"L3788","15","0","68","0","10","72","2","false"
"L3789","6","0","39","0","5","72","2","true"
"L3790","1","0","59","0","7","72","2","true"
"L3791","9","0","54","0","16","72","2","true"
"L3792","7","0","41","0","13","72","2","true"
"L3793","1","0","1","0","4","72","3","false"
"L3794","1","0","15","0","5","72","3","false"
"L3795","20","0","131","0","21","72","2","true"
"L3796","16","0","680","1","18","1649","4","true"
"L3797","1","0","15","0","4","72","2","false"
"L3798","1","0","16","0","5","72","2","false"
"L3799","6","0","35","0","5","72","2","false"
"L9853","30","0","207","0","11","72","2","true"
"L9854","2","0","30","0","9","72","2","false"
"L9855","1","0","133","0","5","72","2","false"
"L9856","2","0","35","0","8","72","2","false"
"L9857","1","0","1","0","5","72","2","false"
"L10017","4","0","29","0","10","72","2","false"
"L10018","2","0","26","0","12","72","2","false"
"L10019","1","0","1","0","5","72","2","false"
"L10334","1","0","16","0","4","72","2","true"
"L10335","17","0","158","1","8","72","2","false"
"L10336","20","0","119","0","3","72","2","false"
"L10337","32","0","229","0","5","72","2","false"
"L10338","1","0","1","0","5","72","2","false"
"L10339","8","0","64","0","3","72","2","false"
"L10340","1","0","6","0","17","72","3","false"
"L10341","1","0","9","0","19","72","2","false"
"L10342","6","0","34","0","7","72","2","false"
"L10343","1","0","7","0","4","72","2","false"
"L10891","4","0","47","0","7","72","3","false"
"L10892","1","0","31","0","12","72","3","false"
"L10893","7","0","56","0","10","72","2","true"
"L10894","1","0","22","0","6","72","2","false"
"L10895","2","0","26","0","4","72","2","false"
"L10896","1","0","17","0","3","72","2","false"
"L10897","1","0","17","0","3","72","2","false"
"L10898","5","0","66","0","8","72","3","false"
"L10899","1","0","6","0","3","72","2","false"
"L10900","2","0","39","0","9","72","3","false"
"L10901","1","0","26","0","9","72","3","false"
"L10902","1","0","1","0","6","72","3","false"
"L10903","2","0","23","0","3","72","2","false"
"L10904","2","0","23","0","3","72","2","false"
"L10905","1","0","6","0","4","72","2","false"
"L11521","1","0","1","0","5","72","2","false"
"L11522","5","0","52","0","9","72","2","false"
"L11523","4","0","28","0","10","72","2","false"
"L11524","6","0","35","0","11","72","2","false"
"L11525","1","0","28","0","10","72","2","false"
"L11977","2","0","21","0","3","4057","1","false"
"L11978","2","0","15","0","3","4057","1","false"
"L11979","1","0","4","0","3","4057","1","false"
"L11980","3","0","41","0","6","4057","1","false"
"L11981","6","0","51","0","7","72","2","false"
"L11982","5","0","28","1","6","72","2","false"
"L11983","6","0","57","0","12","72","2","true"
"L11984","2","0","30","0","8","4057","1","false"
"L11985","6","0","146","0","6","4057","1","false"
"L11986","1","0","29","0","9","4057","1","false"
"L11987","4","0","110","0","10","72","2","false"
"L11988","1","0","1","0","3","4057","1","false"
"L11989","3","0","68","0","4","4057","1","false"
"L11990","1","0","13","0","3","4057","1","false"
"L11991","1","0","11","0","3","4057","1","false"
"L11992","1","0","13","0","3","4057","1","false"
"L12611","1","0","1","0","4","4057","1","false"
"L12612","2","0","30","0","8","4057","1","false"
"L12613","2","0","31","0","10","4057","1","false"
"L3806","8","0","62","1","2","72","2","false"
"L3807","1","0","36","0","12","72","2","false"
"L10021","1","0","34","0","10","4057","1","false"
"L10022","1","0","36","0","11","4057","1","false"
"L10907","2","0","89","0","8","4057","1","false"
"L10908","1","0","42","0","6","4057","1","false"
"L10909","1","0","16","0","2","4057","1","false"
"L10910","1","0","16","0","2","4057","1","false"
"L10911","1","0","9","0","2","4057","1","false"
"L10912","1","0","9","0","2","4057","1","false"
"L10913","1","0","16","0","8","4057","2","false"
"L10914","1","0","14","0","6","4057","2","false"
"L10915","1","0","9","0","2","4057","1","false"
"L10916","1","0","7","0","3","4057","1","false"
"L10917","1","0","9","0","5","4057","2","false"
"L10918","1","0","7","0","3","4057","1","false"
"L10919","1","0","16","0","2","4057","1","false"
"L10920","1","0","16","0","2","4057","1","false"
"L10921","1","0","9","0","2","4057","1","false"
"L10922","1","0","9","0","2","4057","1","false"
"L10923","1","0","16","0","8","4057","2","false"
"L10924","1","0","14","0","6","4057","2","false"
"L10925","1","0","9","0","2","4057","1","false"
"L10926","1","0","7","0","2","4057","1","false"
"L10927","1","0","9","0","5","4057","2","false"
"L10928","1","0","7","0","3","4057","1","false"
"L11527","2","0","43","0","10","4057","1","false"
"L11528","2","0","31","0","9","4057","1","false"
"L11994","1","0","17","0","4","4057","1","false"
"L11995","1","0","24","0","4","4057","1","false"
"L12691","5","0","45","0","12","4057","1","false"
"L12692","5","0","44","0","12","4057","1","false"
"L3818","14","0","70","2","9","72","3","false"
"L3819","1","0","28","1","13","72","4","false"
"L3820","57","0","218","7","17","72","2","true"
"L3821","24","0","55","2","5","72","3","false"
"L3822","1","0","16","0","5","72","2","false"
"L3823","58","0","296","6","15","72","4","true"
"L3824","2","0","25","0","5","72","2","false"
"L3825","4","0","72","0","8","72","2","false"
"L3826","8","0","121","0","9","72","2","false"
"L3827","3","0","51","0","4","72","2","false"
"L3828","2","0","36","0","4","72","2","false"
"L3829","1","0","65","0","8","72","2","false"
"L3830","15","0","116","0","18","72","3","false"
"L3831","1","0","18","0","5","72","2","false"
"L3832","24","0","116","2","16","72","3","false"
"L3833","30","0","89","0","11","72","4","true"
"L3834","1","0","17","0","3","72","2","false"
"L3835","26","0","99","1","13","72","2","false"
"L3836","19","0","92","0","15","72","2","true"
"L3837","5","0","15","0","9","72","2","false"
"L3838","22","0","132","0","18","72","2","true"
"L3839","3","0","40","0","4","72","2","false"
"L3840","78","0","580","0","10","72","2","false"
"L3841","1","0","26","0","15","72","4","false"
"L3842","115","0","531","2","29","72","4","true"
"L3843","16","0","115","0","14","72","3","true"
"L3844","10","0","82","0","5","72","2","false"
"L3845","1","0","7","0","12","72","4","false"
"L3846","1","0","21","0","7","72","2","false"
"L3847","1","0","18","0","6","72","2","true"
"L3848","1","0","5","0","12","72","4","false"
"L3849","1","0","22","0","7","72","2","false"
"L3850","1","0","18","0","6","72","2","false"
"L3851","63","0","233","0","5","72","2","false"
"L3852","1","0","13","0","8","72","2","false"
"L3853","19","0","119","0","4","72","2","false"
"L3854","1","0","1","0","4","72","2","false"
"L3855","49","0","231","2","15","72","4","false"
"L3856","9","0","72","0","7","72","3","false"
"L3857","25","0","120","3","9","72","3","false"
"L7357","1","0","1","0","4","72","2","false"
"L7358","1","0","98","0","6","72","2","false"
"L7359","5","0","38","0","9","72","2","false"
"L7360","2","0","20","0","7","72","2","false"
"L7361","4","0","48","0","6","72","2","false"
"L7362","1","0","22","0","6","72","2","false"
"L7363","1","0","18","0","5","72","2","false"
"L7364","1","0","25","0","6","72","2","false"
"L7365","1","0","18","0","5","72","2","false"
"L7366","18","0","90","0","5","72","2","false"
"L7367","3","0","17","0","4","72","2","false"
