@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L179","0.114286","4","17","7","0.0794439","0.0920897","80","78","7","3","3","190","11","14","203","47","162","0.00917431","0.01854","16","8","1","108","0.01854","16","3","3","2","12","1","847","1007","7","21","7","11","115","0","108","9","155","415","0","148","19","847","1007","7","21","7","11","115","0","108","9","155","415","0","148","19","0","3","296","0","32","0","1","0","0","44","0","1","0","1","5","2","0","16","231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","17","3","6","0","0","0","true"
"L712","0","0","0","0","0","0","0","0","1","1","1","31","5","2","4","2","22","0.0625","0.138211","17","17","1","15","0.138211","17","1","1","2","2","1","106","141","2","0","2","0","20","0","15","0","21","38","0","16","0","106","141","2","0","2","0","20","0","15","0","21","38","0","16","0","0","0","35","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L791","0","0","0","0","0","0","0","0","7","0","0","8","3","3","3","3","11","0.125","0.108108","4","4","1","7","0.108108","4","4","4","3","3","1","33","41","7","21","0","0","8","0","7","0","156","8","0","148","19","33","41","7","21","0","0","8","0","7","0","156","8","0","148","19","0","0","26","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","false"
"L812","0","0","0","0","0","0","0","0","7","3","3","45","3","3","27","2","23","0.0526316","0.0215054","4","4","1","18","0.0215054","4","3","3","2","2","1","182","218","2","0","2","0","21","0","18","0","21","96","0","18","0","182","218","2","0","2","0","21","0","18","0","21","96","0","18","0","0","0","48","0","11","0","3","0","0","0","0","1","0","0","0","0","0","4","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","2","0","3","0","true"
"L897","0.886179","4","22","4","0.795699","0.864198","74","70","1","3","3","24","2","2","2","2","8","0","0","0","0","0","6","0","0","1","1","2","8","1","81","93","2","0","2","0","6","0","5","0","6","41","0","5","0","81","93","2","0","2","0","6","0","5","0","6","41","0","5","0","0","0","48","0","4","0","0","0","0","33","0","0","0","0","0","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","true"
"L927","0.865079","4","22","4","0.762887","0.833333","74","70","1","3","3","25","3","4","9","3","10","0.166667","0.0344828","3","3","1","5","0.0344828","3","4","4","4","7","1","84","97","9","21","2","0","7","0","5","0","157","42","0","148","19","84","97","9","21","2","0","7","0","5","0","157","42","0","148","19","0","0","56","0","4","0","0","0","0","33","0","0","0","0","0","0","0","2","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6","0","0","0","0","0","true"
"L984","0.129555","1","8","2","0.0779221","0.107143","30","30","13","3","3","77","4","15","46","16","38","1","0.178886","61","61","16","0","0.178886","61","0","0","0","0","0","280","385","1","0","1","0","22","0","15","0","22","191","0","15","0","280","385","1","0","1","0","22","0","15","0","22","191","0","15","0","0","1","41","0","17","0","0","0","0","14","0","1","0","1","2","0","0","15","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","false"
"L1694","0.0657194","1","2","1","0.0514019","0.0609756","11","10","3","2","2","42","1","3","4","11","37","0.153846","0.167513","33","33","4","22","0.167513","33","0","0","0","0","0","164","214","4","0","4","0","26","0","25","0","26","67","0","25","0","164","214","4","0","4","0","26","0","25","0","26","67","0","25","0","0","1","61","0","7","0","0","0","0","8","0","1","0","0","0","0","0","6","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","false"
"L1786","0","0","0","0","0","0","0","0","2","1","1","22","1","5","5","7","24","0.222222","0.209524","22","22","4","14","0.209524","22","0","0","0","0","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","0","1","33","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","false"
"L2090","0","0","0","0","0","0","0","0","1","1","1","13","5","31","48","9","18","0.1","0.0740741","4","4","1","9","0.0740741","4","2","2","5","11","1","50","60","1","0","1","0","9","0","9","0","9","17","0","9","0","50","60","1","0","1","0","9","0","9","0","9","17","0","9","0","0","1","21","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","true"
"L777","0.323519","13","108","34","0.269656","0.294479","415","384","35","4","3","278","11","3","6","101","221","0.00925926","0.0280303","37","9","1","107","0.0290395","39","5","6","0","0","2","1283","1514","19","21","10","13","120","0","107","19","191","758","0","170","19","1304","1539","23","21","14","13","122","0","107","19","193","768","0","170","19","0","8","428","6","68","0","2","0","0","152","0","1","0","1","10","4","0","58","248","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","1","20","6","3","0","0","0","true"
