"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of developer commits","Number of committers","Number of bugs"
"L114","AbstractByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractByteBuf.java","L113","76","0","857","2","39","4057","4","2"
"L115","AbstractByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/AbstractByteBufAllocator.java","L113","12","0","107","2","5","1649","2","0"
"L116","AbstractDerivedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractDerivedByteBuf.java","L113","1","0","34","0","3","1649","2","0"
"L117","AbstractMessageBuf.java","buffer/src/main/java/io/netty/buffer/AbstractMessageBuf.java","L113","25","0","185","1","6","1649","2","1"
"L118","AbstractReferenceCounted.java","buffer/src/main/java/io/netty/buffer/AbstractReferenceCounted.java","L113","19","0","83","0","3","1649","2","1"
"L119","AbstractReferenceCountedByteBuf.java","buffer/src/main/java/io/netty/buffer/AbstractReferenceCountedByteBuf.java","L113","19","0","86","0","4","1649","2","1"
"L120","Buf.java","buffer/src/main/java/io/netty/buffer/Buf.java","L113","1","0","13","0","6","1649","2","0"
"L121","BufType.java","buffer/src/main/java/io/netty/buffer/BufType.java","L113","1","0","5","0","1","4057","1","0"
"L122","BufUtil.java","buffer/src/main/java/io/netty/buffer/BufUtil.java","L113","56","0","290","0","2","4057","1","0"
"L123","ByteBuf.java","buffer/src/main/java/io/netty/buffer/ByteBuf.java","L113","1","0","166","1","31","4057","4","1"
"L124","ByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/ByteBufAllocator.java","L113","1","0","19","2","6","1649","2","0"
"L125","ByteBufHolder.java","buffer/src/main/java/io/netty/buffer/ByteBufHolder.java","L113","1","0","9","0","3","1649","2","0"
"L126","ByteBufIndexFinder.java","buffer/src/main/java/io/netty/buffer/ByteBufIndexFinder.java","L113","5","0","68","0","4","4057","2","0"
"L127","ByteBufInputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufInputStream.java","L113","17","0","170","0","6","4057","3","0"
"L128","ByteBufOutputStream.java","buffer/src/main/java/io/netty/buffer/ByteBufOutputStream.java","L113","6","0","88","0","4","4057","2","0"
"L129","CompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/CompositeByteBuf.java","L113","1","0","151","0","50","1649","5","1"
"L130","DefaultByteBufHolder.java","buffer/src/main/java/io/netty/buffer/DefaultByteBufHolder.java","L113","5","0","51","0","4","1649","2","1"
"L131","DefaultCompositeByteBuf.java","buffer/src/main/java/io/netty/buffer/DefaultCompositeByteBuf.java","L113","161","0","1322","4","42","1649","6","7"
"L132","DefaultMessageBuf.java","buffer/src/main/java/io/netty/buffer/DefaultMessageBuf.java","L113","33","0","265","1","15","4057","3","0"
"L133","DuplicatedByteBuf.java","buffer/src/main/java/io/netty/buffer/DuplicatedByteBuf.java","L113","2","0","173","1","23","4057","4","1"
"L134","EmptyByteBuf.java","buffer/src/main/java/io/netty/buffer/EmptyByteBuf.java","L113","16","0","681","0","3","1649","2","1"
"L135","FilteredMessageBuf.java","buffer/src/main/java/io/netty/buffer/FilteredMessageBuf.java","L113","7","0","173","0","3","1649","2","1"
"L136","IllegalBufferAccessException.java","buffer/src/main/java/io/netty/buffer/IllegalBufferAccessException.java","L113","1","0","14","0","2","4057","1","0"
"L137","MessageBuf.java","buffer/src/main/java/io/netty/buffer/MessageBuf.java","L113","1","0","12","0","9","4057","3","1"
"L138","package-info.java","buffer/src/main/java/io/netty/buffer/package-info.java","L113","1","0","1","0","9","4057","2","0"
"L139","PoolArena.java","buffer/src/main/java/io/netty/buffer/PoolArena.java","L113","43","0","324","2","9","1649","2","0"
"L140","PoolChunk.java","buffer/src/main/java/io/netty/buffer/PoolChunk.java","L113","29","0","262","1","4","4057","2","0"
"L141","PoolChunkList.java","buffer/src/main/java/io/netty/buffer/PoolChunkList.java","L113","16","0","96","0","3","1649","2","0"
"L142","PooledByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledByteBuf.java","L113","16","0","151","1","11","4057","2","1"
"L143","PooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/PooledByteBufAllocator.java","L113","15","0","121","1","2","4057","1","1"
"L144","PooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledDirectByteBuf.java","L113","10","0","234","0","3","4057","1","1"
"L145","PooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledHeapByteBuf.java","L113","4","0","214","0","3","4057","1","1"
"L146","PooledUnsafeDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/PooledUnsafeDirectByteBuf.java","L113","21","0","252","1","6","1649","2","3"
"L147","PoolSubpage.java","buffer/src/main/java/io/netty/buffer/PoolSubpage.java","L113","17","0","108","0","1","4057","1","0"
"L148","PoolThreadCache.java","buffer/src/main/java/io/netty/buffer/PoolThreadCache.java","L113","1","0","10","0","1","4057","1","0"
"L149","QueueBackedMessageBuf.java","buffer/src/main/java/io/netty/buffer/QueueBackedMessageBuf.java","L113","6","0","97","1","12","4057","2","0"
"L150","ReadOnlyByteBuf.java","buffer/src/main/java/io/netty/buffer/ReadOnlyByteBuf.java","L113","3","0","171","1","22","4057","4","2"
"L151","ReferenceCounted.java","buffer/src/main/java/io/netty/buffer/ReferenceCounted.java","L113","1","0","8","0","3","1649","2","0"
"L152","SlicedByteBuf.java","buffer/src/main/java/io/netty/buffer/SlicedByteBuf.java","L113","7","0","221","2","26","4057","4","1"
"L153","SwappedByteBuf.java","buffer/src/main/java/io/netty/buffer/SwappedByteBuf.java","L113","9","0","703","2","28","1649","4","2"
"L154","Unpooled.java","buffer/src/main/java/io/netty/buffer/Unpooled.java","L113","90","0","484","1","21","4057","3","1"
"L155","UnpooledByteBufAllocator.java","buffer/src/main/java/io/netty/buffer/UnpooledByteBufAllocator.java","L113","2","0","24","2","5","1649","2","0"
"L156","UnpooledDirectByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledDirectByteBuf.java","L113","44","0","409","1","14","4057","2","2"
"L157","UnpooledHeapByteBuf.java","buffer/src/main/java/io/netty/buffer/UnpooledHeapByteBuf.java","L113","14","0","290","1","10","4057","1","1"
"L163","AbstractByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java","L162","123","0","1380","0","3","4057","2","0"
"L164","AbstractCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java","L162","5","0","315","1","4","1649","2","0"
"L165","BigEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianCompositeByteBufTest.java","L162","1","0","6","0","1","1649","1","0"
"L166","BigEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianDirectByteBufTest.java","L162","1","0","17","0","1","1649","1","0"
"L167","BigEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/BigEndianHeapByteBufTest.java","L162","1","0","24","0","1","1649","1","0"
"L168","ByteBufDerivationTest.java","buffer/src/test/java/io/netty/buffer/ByteBufDerivationTest.java","L162","11","0","169","0","1","4057","1","0"
"L169","ByteBufIndexFinderTest.java","buffer/src/test/java/io/netty/buffer/ByteBufIndexFinderTest.java","L162","1","0","40","0","1","1649","1","0"
"L170","ByteBufStreamTest.java","buffer/src/test/java/io/netty/buffer/ByteBufStreamTest.java","L162","11","0","146","0","2","4057","2","0"
"L171","ConsolidationTest.java","buffer/src/test/java/io/netty/buffer/ConsolidationTest.java","L162","1","0","28","0","1","71","1","0"
"L172","DuplicateByteBufTest.java","buffer/src/test/java/io/netty/buffer/DuplicateByteBufTest.java","L162","1","0","20","0","1","1649","1","0"
"L173","LittleEndianCompositeByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianCompositeByteBufTest.java","L162","1","0","6","0","1","1649","1","0"
"L174","LittleEndianDirectByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianDirectByteBufTest.java","L162","1","0","17","0","1","1649","1","0"
"L175","LittleEndianHeapByteBufTest.java","buffer/src/test/java/io/netty/buffer/LittleEndianHeapByteBufTest.java","L162","1","0","16","0","1","1649","1","0"
"L176","ReadOnlyByteBufTest.java","buffer/src/test/java/io/netty/buffer/ReadOnlyByteBufTest.java","L162","1","0","129","0","1","1649","1","0"
"L177","SlicedByteBufTest.java","buffer/src/test/java/io/netty/buffer/SlicedByteBufTest.java","L162","1","0","23","0","1","1649","1","0"
"L178","UnpooledTest.java","buffer/src/test/java/io/netty/buffer/UnpooledTest.java","L162","17","0","425","0","4","4057","2","0"
"L6044","ByteToByteCodec.java","codec/src/main/java/io/netty/handler/codec/ByteToByteCodec.java","L6043","1","0","67","1","13","4057","3","0"
"L6045","ByteToByteDecoder.java","codec/src/main/java/io/netty/handler/codec/ByteToByteDecoder.java","L6043","11","0","64","4","17","4057","3","1"
"L6046","ByteToByteEncoder.java","codec/src/main/java/io/netty/handler/codec/ByteToByteEncoder.java","L6043","6","0","38","4","20","4057","3","1"
"L6047","ByteToMessageCodec.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageCodec.java","L6043","1","0","76","0","20","4057","3","2"
"L6048","ByteToMessageDecoder.java","codec/src/main/java/io/netty/handler/codec/ByteToMessageDecoder.java","L6043","18","0","104","6","29","4057","3","5"
"L6049","CodecException.java","codec/src/main/java/io/netty/handler/codec/CodecException.java","L6043","1","0","15","0","5","4057","2","0"
"L6050","CorruptedFrameException.java","codec/src/main/java/io/netty/handler/codec/CorruptedFrameException.java","L6043","1","0","15","0","7","4057","3","0"
"L6051","DecoderException.java","codec/src/main/java/io/netty/handler/codec/DecoderException.java","L6043","1","0","15","0","6","4057","3","0"
"L6052","DecoderResult.java","codec/src/main/java/io/netty/handler/codec/DecoderResult.java","L6043","8","0","55","0","3","72","2","0"
"L6053","DelimiterBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/DelimiterBasedFrameDecoder.java","L6043","34","0","179","0","17","4057","3","1"
"L6054","Delimiters.java","codec/src/main/java/io/netty/handler/codec/Delimiters.java","L6043","1","0","17","0","6","72","2","0"
"L6055","EncoderException.java","codec/src/main/java/io/netty/handler/codec/EncoderException.java","L6043","1","0","15","0","6","4057","3","0"
"L6056","FixedLengthFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/FixedLengthFrameDecoder.java","L6043","4","0","34","1","18","1649","3","1"
"L6057","LengthFieldBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/LengthFieldBasedFrameDecoder.java","L6043","29","0","177","1","15","1649","3","2"
"L6058","LengthFieldPrepender.java","codec/src/main/java/io/netty/handler/codec/LengthFieldPrepender.java","L6043","15","0","62","0","15","4057","3","0"
"L6059","LineBasedFrameDecoder.java","codec/src/main/java/io/netty/handler/codec/LineBasedFrameDecoder.java","L6043","15","0","75","0","3","1649","1","1"
"L6060","MessageToByteEncoder.java","codec/src/main/java/io/netty/handler/codec/MessageToByteEncoder.java","L6043","3","0","18","3","17","4057","3","0"
"L6061","MessageToMessageCodec.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageCodec.java","L6043","1","0","78","2","32","4057","3","1"
"L6062","MessageToMessageDecoder.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageDecoder.java","L6043","1","0","12","4","34","4057","3","2"
"L6063","MessageToMessageEncoder.java","codec/src/main/java/io/netty/handler/codec/MessageToMessageEncoder.java","L6043","3","0","17","4","29","4057","3","3"
"L6064","package-info.java","codec/src/main/java/io/netty/handler/codec/package-info.java","L6043","1","0","1","0","5","4057","3","0"
