@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","76","0","857","2","39","4057","4","true"
"L115","12","0","107","2","5","1649","2","false"
"L116","1","0","34","0","3","1649","2","false"
"L117","25","0","185","1","6","1649","2","true"
"L118","19","0","83","0","3","1649","2","true"
"L119","19","0","86","0","4","1649","2","true"
"L120","1","0","13","0","6","1649","2","false"
"L121","1","0","5","0","1","4057","1","false"
"L122","56","0","290","0","2","4057","1","false"
"L123","1","0","166","1","31","4057","4","true"
"L124","1","0","19","2","6","1649","2","false"
"L125","1","0","9","0","3","1649","2","false"
"L126","5","0","68","0","4","4057","2","false"
"L127","17","0","170","0","6","4057","3","false"
"L128","6","0","88","0","4","4057","2","false"
"L129","1","0","151","0","50","1649","5","true"
"L130","5","0","51","0","4","1649","2","true"
"L131","161","0","1322","4","42","1649","6","true"
"L132","33","0","265","1","15","4057","3","false"
"L133","2","0","173","1","23","4057","4","true"
"L134","16","0","681","0","3","1649","2","true"
"L135","7","0","173","0","3","1649","2","true"
"L136","1","0","14","0","2","4057","1","false"
"L137","1","0","12","0","9","4057","3","true"
"L138","1","0","1","0","9","4057","2","false"
"L139","43","0","324","2","9","1649","2","false"
"L140","29","0","262","1","4","4057","2","false"
"L141","16","0","96","0","3","1649","2","false"
"L142","16","0","151","1","11","4057","2","true"
"L143","15","0","121","1","2","4057","1","true"
"L144","10","0","234","0","3","4057","1","true"
"L145","4","0","214","0","3","4057","1","true"
"L146","21","0","252","1","6","1649","2","true"
"L147","17","0","108","0","1","4057","1","false"
"L148","1","0","10","0","1","4057","1","false"
"L149","6","0","97","1","12","4057","2","false"
"L150","3","0","171","1","22","4057","4","true"
"L151","1","0","8","0","3","1649","2","false"
"L152","7","0","221","2","26","4057","4","true"
"L153","9","0","703","2","28","1649","4","true"
"L154","90","0","484","1","21","4057","3","true"
"L155","2","0","24","2","5","1649","2","false"
"L156","44","0","409","1","14","4057","2","true"
"L157","14","0","290","1","10","4057","1","true"
"L163","123","0","1380","0","3","4057","2","false"
"L164","5","0","315","1","4","1649","2","false"
"L165","1","0","6","0","1","1649","1","false"
"L166","1","0","17","0","1","1649","1","false"
"L167","1","0","24","0","1","1649","1","false"
"L168","11","0","169","0","1","4057","1","false"
