"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L118","ODatabaseHelper.java","client/src/main/java/com/orientechnologies/orient/client/db/ODatabaseHelper.java","L117","18","0","112","0","15","0","0","0"
"L276","OClusterRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OClusterRemote.java","L275","1","0","126","0","25","6","1345","0"
"L277","OEngineRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OEngineRemote.java","L275","5","0","56","0","11","3","16","0"
"L278","ONetworkConnectionPool.java","client/src/main/java/com/orientechnologies/orient/client/remote/ONetworkConnectionPool.java","L275","6","0","57","0","6","0","0","0"
"L279","OServerAdmin.java","client/src/main/java/com/orientechnologies/orient/client/remote/OServerAdmin.java","L275","33","0","410","0","54","5","16","1"
"L280","OStorageRemote.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemote.java","L275","237","0","1574","0","228","9","3122","1"
"L281","OStorageRemoteAsynchEventListener.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteAsynchEventListener.java","L275","4","0","23","0","7","3","16","0"
"L282","OStorageRemoteThread.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThread.java","L275","1","0","371","0","68","8","3122","0"
"L283","OStorageRemoteThreadLocal.java","client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemoteThreadLocal.java","L275","1","0","13","0","3","0","0","0"
"L2134","OConstants.java","core/src/main/java/com/orientechnologies/orient/core/OConstants.java","L2133","3","0","22","0","62","2","3122","0"
"L2135","OOrientListener.java","core/src/main/java/com/orientechnologies/orient/core/OOrientListener.java","L2133","1","0","7","0","3","0","0","0"
"L2136","Orient.java","core/src/main/java/com/orientechnologies/orient/core/Orient.java","L2133","41","0","337","0","77","5","3122","0"
"L2137","OrientShutdownHook.java","core/src/main/java/com/orientechnologies/orient/core/OrientShutdownHook.java","L2133","2","0","16","0","3","0","0","0"
"L2140","OAccess.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAccess.java","L2139","1","0","15","0","2","0","0","0"
"L2141","OAfterDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterDeserialization.java","L2139","1","0","11","0","2","0","0","0"
"L2142","OAfterSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OAfterSerialization.java","L2139","1","0","11","0","2","0","0","0"
"L2143","OBeforeDeserialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeDeserialization.java","L2139","1","0","11","0","2","0","0","0"
"L2144","OBeforeSerialization.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OBeforeSerialization.java","L2139","1","0","11","0","2","0","0","0"
"L2145","ODocumentInstance.java","core/src/main/java/com/orientechnologies/orient/core/annotation/ODocumentInstance.java","L2139","1","0","11","0","2","0","0","0"
"L2146","OId.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OId.java","L2139","1","0","11","0","2","0","0","0"
"L2147","OVersion.java","core/src/main/java/com/orientechnologies/orient/core/annotation/OVersion.java","L2139","1","0","11","0","2","0","0","0"
"L2198","OAbstractRecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OAbstractRecordCache.java","L2197","5","0","80","0","33","0","0","0"
"L2199","OCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCache.java","L2197","1","0","20","0","3","0","0","0"
"L2200","OCacheLocator.java","core/src/main/java/com/orientechnologies/orient/core/cache/OCacheLocator.java","L2197","5","0","45","0","3","0","0","0"
"L2201","ODefaultCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/ODefaultCache.java","L2197","14","0","159","1","18","2","33","0"
"L2202","OLevel1RecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OLevel1RecordCache.java","L2197","14","0","94","0","36","2","6","0"
"L2203","OLevel2RecordCache.java","core/src/main/java/com/orientechnologies/orient/core/cache/OLevel2RecordCache.java","L2197","20","0","81","0","29","2","6","0"
"L2677","OBasicCommandContext.java","core/src/main/java/com/orientechnologies/orient/core/command/OBasicCommandContext.java","L2676","39","0","165","0","26","4","16","0"
"L2678","OCommand.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommand.java","L2676","1","0","5","0","3","0","0","0"
"L2679","OCommandContext.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandContext.java","L2676","1","0","18","0","12","3","16","0"
"L2680","OCommandDistributedConditionalReplicateRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandDistributedConditionalReplicateRequest.java","L2676","1","0","4","0","1","0","0","0"
"L2681","OCommandDistributedReplicateRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandDistributedReplicateRequest.java","L2676","1","0","3","0","1","0","0","0"
"L2682","OCommandExecutor.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutor.java","L2676","1","0","13","0","15","4","16","0"
"L2683","OCommandExecutorAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutorAbstract.java","L2676","2","0","51","0","23","4","16","0"
"L2684","OCommandExecutorNotFoundException.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandExecutorNotFoundException.java","L2676","1","0","11","0","2","0","0","0"
"L2685","OCommandGenericIterator.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandGenericIterator.java","L2676","8","0","45","0","2","0","0","0"
"L2686","OCommandManager.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandManager.java","L2676","5","0","62","0","9","0","0","0"
"L2687","OCommandOutputListener.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandOutputListener.java","L2676","1","0","4","0","2","0","0","0"
"L2688","OCommandPredicate.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandPredicate.java","L2676","1","0","6","0","3","0","0","0"
"L2689","OCommandProcess.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandProcess.java","L2676","1","0","17","0","1","0","0","0"
"L2690","OCommandRequest.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequest.java","L2676","1","0","16","0","16","4","16","0"
"L2691","OCommandRequestAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestAbstract.java","L2676","9","0","100","0","25","4","16","0"
"L2692","OCommandRequestAsynch.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestAsynch.java","L2676","1","0","5","0","3","0","0","0"
"L2693","OCommandRequestInternal.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestInternal.java","L2676","1","0","12","0","16","3","16","0"
"L2694","OCommandRequestText.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestText.java","L2676","1","0","6","0","13","5","16","0"
"L2695","OCommandRequestTextAbstract.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandRequestTextAbstract.java","L2676","17","0","126","0","35","5","1345","0"
"L2696","OCommandResultListener.java","core/src/main/java/com/orientechnologies/orient/core/command/OCommandResultListener.java","L2676","1","0","5","0","4","1","3122","0"
"L4735","OAbstractStorageClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OAbstractStorageClusterConfiguration.java","L4734","1","0","27","0","2","0","0","0"
"L4736","OConfigurationChangeCallback.java","core/src/main/java/com/orientechnologies/orient/core/config/OConfigurationChangeCallback.java","L4734","1","0","4","0","2","0","0","0"
"L4737","OContextConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OContextConfiguration.java","L4734","10","0","54","0","8","0","0","0"
"L4738","OGlobalConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java","L4734","33","0","402","1","193","6","3122","1"
"L4739","OStorageClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterConfiguration.java","L4734","1","0","7","0","3","0","0","0"
"L4740","OStorageClusterHoleConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterHoleConfiguration.java","L4734","1","0","12","0","4","0","0","0"
"L4741","OStorageConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageConfiguration.java","L4734","42","0","340","0","85","7","3122","1"
"L4742","OStorageDataConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageDataConfiguration.java","L4734","1","0","23","0","9","0","0","0"
"L4743","OStorageDataHoleConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageDataHoleConfiguration.java","L4734","1","0","11","0","4","0","0","0"
"L4744","OStorageEHClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageEHClusterConfiguration.java","L4734","1","0","32","0","5","5","16","0"
"L4745","OStorageEntryConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageEntryConfiguration.java","L4734","1","0","13","0","4","0","0","0"
"L4746","OStorageFileConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageFileConfiguration.java","L4734","1","0","24","0","4","0","0","0"
"L4747","OStorageMemoryClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageMemoryClusterConfiguration.java","L4734","1","0","6","0","4","0","0","0"
"L4748","OStorageMemoryLinearHashingClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageMemoryLinearHashingClusterConfiguration.java","L4734","1","0","6","0","1","0","0","0"
"L4749","OStoragePhysicalClusterConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStoragePhysicalClusterConfiguration.java","L4734","1","0","5","0","10","0","0","0"
"L4750","OStoragePhysicalClusterConfigurationLocal.java","core/src/main/java/com/orientechnologies/orient/core/config/OStoragePhysicalClusterConfigurationLocal.java","L4734","1","0","49","0","1","0","0","0"
"L4751","OStorageSegmentConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageSegmentConfiguration.java","L4734","4","0","43","0","13","4","16","0"
"L4752","OStorageTxConfiguration.java","core/src/main/java/com/orientechnologies/orient/core/config/OStorageTxConfiguration.java","L4734","2","0","30","0","5","0","0","0"
"L5529","ODatabase.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabase.java","L5528","1","0","84","0","69","7","3122","0"
"L5530","ODatabaseComplex.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseComplex.java","L5528","1","0","73","0","42","6","16","0"
"L5531","ODatabaseFactory.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseFactory.java","L5528","12","0","62","0","7","0","0","0"
"L5532","ODatabaseLifecycleListener.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseLifecycleListener.java","L5528","1","0","5","0","6","0","0","0"
"L5533","ODatabaseListener.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseListener.java","L5528","1","0","13","0","6","0","0","0"
"L5534","ODatabasePoolAbstract.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabasePoolAbstract.java","L5528","16","0","123","0","27","5","33","0"
"L5535","ODatabasePoolBase.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabasePoolBase.java","L5528","10","0","92","0","20","4","16","0"
"L5536","ODatabasePooled.java","core/src/main/java/com/orientechnologies/orient/core/db/ODatabasePooled.java","L5528","1","0","6","0","5","0","0","0"
