@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","5","0","28","0","0","0","1","false"
"L119","2","0","17","0","0","0","1","false"
"L120","7","0","34","0","0","0","1","false"
"L121","1","0","9","0","0","0","1","false"
"L122","1","0","10","0","0","0","1","false"
"L123","1","0","6","327","1","0","2","false"
"L124","3","0","41","0","0","0","1","false"
"L125","1","0","59","327","1","0","5","false"
"L126","4","0","56","327","1","1","3","false"
"L127","12","0","81","0","0","0","1","false"
"L150","1","0","8","327","1","0","1","false"
"L151","5","0","40","327","1","0","1","false"
"L152","1","0","18","327","1","0","1","false"
"L153","1","0","19","327","1","0","1","false"
"L464","1","0","11","0","0","0","1","false"
"L762","25","0","205","327","1","0","2","false"
"L1051","7","0","112","327","1","0","3","false"
"L1165","5","0","37","327","1","0","1","false"
"L1166","5","0","31","327","1","0","1","false"
"L1167","5","0","30","327","1","0","1","false"
"L1168","13","0","79","327","1","0","1","false"
"L1169","1","0","5","327","1","0","1","false"
"L1170","1","0","5","327","1","0","1","false"
"L1171","1","0","8","327","1","0","1","false"
"L467","52","0","350","327","1","0","2","true"
"L135","1","0","21","0","0","0","1","false"
"L136","1","0","16","0","0","0","1","false"
"L137","1","0","49","327","1","1","2","false"
"L138","2","0","68","0","0","0","1","false"
"L1053","1","0","19","0","0","0","1","false"
"L1173","1","0","63","327","1","0","1","false"
"L1174","4","0","23","327","1","0","1","false"
"L1175","3","0","24","327","1","0","1","false"
"L470","1","0","27","0","0","0","1","false"
"L471","1","0","58","0","0","0","1","false"
"L472","1","0","42","0","0","0","1","false"
"L148","11","0","102","327","1","0","2","false"
"L1574","3","0","50","0","0","0","1","false"
"L1575","1","0","15","0","0","0","1","false"
"L1576","1","0","25","0","0","0","1","false"
"L1577","18","0","165","327","1","0","3","true"
"L1578","3","0","29","327","1","0","3","false"
"L1579","1","0","26","327","1","0","2","false"
"L1580","2","0","25","0","0","0","1","false"
