"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of committers","Number of previous fixes","Number of previous modifications","Number of bugs"
"L118","ByValueAscComparator.java","als-common/src/main/java/com/cloudera/oryx/als/common/ByValueAscComparator.java","L117","5","0","28","0","0","0","1","0"
"L119","DataUtils.java","als-common/src/main/java/com/cloudera/oryx/als/common/DataUtils.java","L117","2","0","17","0","0","0","1","0"
"L120","IDValue.java","als-common/src/main/java/com/cloudera/oryx/als/common/IDValue.java","L117","7","0","34","0","0","0","1","0"
"L121","NoSuchItemException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NoSuchItemException.java","L117","1","0","9","0","0","0","1","0"
"L122","NoSuchUserException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NoSuchUserException.java","L117","1","0","10","0","0","0","1","0"
"L123","NotReadyException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NotReadyException.java","L117","1","0","6","327","1","0","2","0"
"L124","NumericIDValue.java","als-common/src/main/java/com/cloudera/oryx/als/common/NumericIDValue.java","L117","3","0","41","0","0","0","1","0"
"L125","OryxRecommender.java","als-common/src/main/java/com/cloudera/oryx/als/common/OryxRecommender.java","L117","1","0","65","327","1","0","10","0"
"L126","StringLongMapping.java","als-common/src/main/java/com/cloudera/oryx/als/common/StringLongMapping.java","L117","4","0","56","327","1","1","3","0"
"L127","TopN.java","als-common/src/main/java/com/cloudera/oryx/als/common/TopN.java","L117","12","0","81","0","0","0","1","0"
"L150","CandidateFilter.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/CandidateFilter.java","L149","1","0","8","327","1","0","1","0"
"L151","CandidateFilterFactory.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/CandidateFilterFactory.java","L149","5","0","40","327","1","0","1","1"
"L152","IdentityCandidateFilter.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/IdentityCandidateFilter.java","L149","1","0","18","327","1","0","1","0"
"L153","LocationSensitiveHashFilter.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/LocationSensitiveHashFilter.java","L149","1","0","19","327","1","0","1","1"
"L464","MatrixFactorizer.java","als-common/src/main/java/com/cloudera/oryx/als/common/factorizer/MatrixFactorizer.java","L463","1","0","11","0","0","0","1","0"
"L762","LocationSensitiveHash.java","als-common/src/main/java/com/cloudera/oryx/als/common/lsh/LocationSensitiveHash.java","L761","25","0","205","327","1","0","3","0"
"L1068","ALSModelDescription.java","als-common/src/main/java/com/cloudera/oryx/als/common/pmml/ALSModelDescription.java","L1067","7","0","112","327","1","0","3","0"
"L1182","AbstractRescorerProvider.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/AbstractRescorerProvider.java","L1181","5","0","37","327","1","0","1","0"
"L1183","MultiLongPairRescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/MultiLongPairRescorer.java","L1181","5","0","31","327","1","0","1","0"
"L1184","MultiRescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/MultiRescorer.java","L1181","5","0","30","327","1","0","1","0"
"L1185","MultiRescorerProvider.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/MultiRescorerProvider.java","L1181","13","0","79","327","1","0","1","0"
"L1186","PairRescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/PairRescorer.java","L1181","1","0","5","327","1","0","1","0"
"L1187","Rescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/Rescorer.java","L1181","1","0","5","327","1","0","1","0"
"L1188","RescorerProvider.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/RescorerProvider.java","L1181","1","0","8","327","1","0","1","0"
"L467","AlternatingLeastSquares.java","als-common/src/main/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquares.java","L466","52","0","346","327","1","2","4","0"
"L135","ByValueAscComparatorTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/ByValueAscComparatorTest.java","L134","1","0","21","0","0","0","1","0"
"L136","DataUtilsTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/DataUtilsTest.java","L134","1","0","16","0","0","0","1","0"
"L137","StringLongMappingTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/StringLongMappingTest.java","L134","1","0","49","327","1","1","2","0"
"L138","TopNTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/TopNTest.java","L134","2","0","68","0","0","0","1","0"
"L1070","ALSModelDescriptionTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/pmml/ALSModelDescriptionTest.java","L1069","1","0","19","0","0","0","1","0"
"L1190","MultiRescorerProviderTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/rescorer/MultiRescorerProviderTest.java","L1189","1","0","63","327","1","0","1","0"
"L1191","SimpleModRescorer.java","als-common/src/test/java/com/cloudera/oryx/als/common/rescorer/SimpleModRescorer.java","L1189","4","0","23","327","1","0","1","0"
"L1192","SimpleModRescorerProvider.java","als-common/src/test/java/com/cloudera/oryx/als/common/rescorer/SimpleModRescorerProvider.java","L1189","3","0","24","327","1","0","1","0"
"L470","AlternatingLeastSquaresPredictingRTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquaresPredictingRTest.java","L469","1","0","27","0","0","0","1","0"
"L471","AlternatingLeastSquaresTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquaresTest.java","L469","1","0","58","0","0","0","1","0"
"L472","NegativeInputTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/NegativeInputTest.java","L469","1","0","42","0","0","0","1","0"
"L148","LocationSensitiveHashIT.java","als-common/src/it/java/com/cloudera/oryx/als/common/candidate/LocationSensitiveHashIT.java","L147","11","0","101","327","1","0","4","0"
"L1591","AbstractComputationIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/AbstractComputationIT.java","L1590","3","0","50","0","0","0","1","0"
"L1592","AlmostTooHighLambdaIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/AlmostTooHighLambdaIT.java","L1590","1","0","15","0","0","0","1","0"
"L1593","LoadIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/LoadIT.java","L1590","1","0","25","0","0","0","1","0"
"L1594","LoadRunner.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/LoadRunner.java","L1590","18","0","165","327","1","1","4","0"
"L1595","MeanAveragePrecisionIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/MeanAveragePrecisionIT.java","L1590","3","0","29","327","1","0","3","0"
"L1596","RecsSimilarityIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/RecsSimilarityIT.java","L1590","1","0","26","327","1","0","2","0"
"L1597","RepeatedFoldInIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/RepeatedFoldInIT.java","L1590","2","0","25","0","0","0","1","0"
"L1598","SimpleIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/SimpleIT.java","L1590","9","0","311","327","1","0","4","0"
"L1599","SimpleNonnumericDataIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/SimpleNonnumericDataIT.java","L1590","8","0","275","0","0","0","1","0"
"L1600","TinyTagsIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/TinyTagsIT.java","L1590","1","0","50","0","0","0","1","0"
"L1608","ALSDistributedGenerationRunner.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSDistributedGenerationRunner.java","L1607","29","0","260","327","1","1","8","0"
"L1609","ALSJobStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSJobStep.java","L1607","1","0","12","0","0","0","1","0"
"L1610","ALSJobStepConfig.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSJobStepConfig.java","L1607","1","0","36","327","1","1","3","0"
"L1611","ComputationDataUtils.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ComputationDataUtils.java","L1607","8","0","82","0","0","0","1","0"
"L1612","IDMappingState.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/IDMappingState.java","L1607","3","0","30","327","1","0","2","0"
"L2211","CopyPreviousYFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/CopyPreviousYFn.java","L2210","1","0","15","0","0","0","1","0"
"L2212","FlagNewItemsFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/FlagNewItemsFn.java","L2210","1","0","11","0","0","0","1","0"
"L2213","InitialYReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/InitialYReduceFn.java","L2210","9","0","61","327","1","1","3","0"
"L2214","InitialYStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/InitialYStep.java","L2210","8","0","61","327","1","1","3","0"
