@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L5942","0","0","0","0","0","0","0","0","3","1","1","14","0","9","10","0","9","1","0.432203","51","51","7","0","0.432203","51","0","0","0","0","0","67","124","2","0","2","0","9","0","6","0","9","23","0","6","0","67","124","2","0","2","0","9","0","6","0","9","23","0","6","0","0","0","7","1","3","0","0","0","0","0","0","1","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7023","0","0","0","0","0","0","0","0","3","0","0","6","0","12","17","0","4","1","0.6","27","27","4","0","0.6","27","0","0","0","0","0","18","45","0","0","0","0","4","0","3","0","4","8","0","3","0","18","45","0","0","0","0","4","0","3","0","4","8","0","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L3924","0","0","0","0","0","0","0","0","1","3","3","18","0","3","7","0","7","1","0.387597","50","43","7","0","0.387597","50","0","0","0","0","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","false"
"L7598","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","3","5","0.333333","0.25","5","5","1","2","0.25","5","1","1","0","0","1","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","0","0","6","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7606","0","0","0","0","0","0","0","0","6","0","0","6","2","0","0","4","10","0.142857","0.16129","5","5","1","6","0.16129","5","1","1","0","0","1","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","0","0","16","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L156","0","0","0","0","0","0","0","0","8","2","2","22","4","77","180","6","22","0.428571","0.336283","38","36","3","4","0.336283","38","0","0","64","77","0","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","0","0","22","0","6","0","0","0","0","0","0","1","0","0","0","0","0","6","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7660","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","5","7","0.333333","0.172414","5","5","1","2","0.128205","5","1","1","0","0","1","24","27","3","2","0","0","2","0","2","0","18","14","0","8","2","34","37","5","2","2","0","4","0","4","0","20","16","0","10","2","0","0","18","2","10","0","0","0","0","0","0","1","0","0","0","0","0","0","17","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","false"
"L9747","0","0","0","0","0","0","0","0","1","3","3","32","17","3","4","16","26","0.142857","0.0677966","12","7","1","6","0.0662983","12","0","0","0","0","0","165","207","12","1","12","1","10","0","6","0","10","84","0","6","0","169","211","12","1","12","1","11","0","7","0","11","85","0","7","0","0","0","32","1","16","0","0","0","0","0","0","0","0","1","0","1","0","12","28","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","false"
"L9797","0","0","0","0","0","0","0","0","1","0","0","8","1","2","1","0","7","0.333333","0.190476","8","8","2","4","0.190476","8","0","0","0","0","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L9880","0.299127","6","16","6","0.295276","0.37","75","74","1","3","3","33","10","1","1","15","29","0.4","0.100917","22","18","2","3","0.0990991","22","0","0","0","0","0","196","250","6","0","6","0","14","0","4","0","14","126","0","4","0","200","254","6","0","6","0","15","0","5","0","15","127","0","5","0","0","0","89","1","5","0","0","0","0","52","0","0","0","0","1","0","0","3","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","false"
"L14329","0.25207","6","16","6","0.256849","0.323144","75","74","1","3","3","38","11","1","1","19","33","0.4","0.166667","45","35","2","3","0.164234","45","0","0","0","0","0","225","288","7","0","7","0","14","0","4","0","14","144","0","4","0","229","292","7","0","7","0","15","0","5","0","15","145","0","5","0","0","0","89","1","5","0","0","0","0","52","0","0","0","0","1","2","0","3","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","false"
