"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of committers","Number of previous fixes","Number of previous modifications","Number of bugs"
"L118","ByValueAscComparator.java","als-common/src/main/java/com/cloudera/oryx/als/common/ByValueAscComparator.java","L117","5","0","28","0","0","0","1","0"
"L119","DataUtils.java","als-common/src/main/java/com/cloudera/oryx/als/common/DataUtils.java","L117","2","0","17","0","0","0","1","0"
"L120","IDValue.java","als-common/src/main/java/com/cloudera/oryx/als/common/IDValue.java","L117","7","0","34","0","0","0","1","0"
"L121","NoSuchItemException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NoSuchItemException.java","L117","1","0","9","0","0","0","1","0"
"L122","NoSuchUserException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NoSuchUserException.java","L117","1","0","10","0","0","0","1","0"
"L123","NotReadyException.java","als-common/src/main/java/com/cloudera/oryx/als/common/NotReadyException.java","L117","1","0","6","327","1","0","2","0"
"L124","NumericIDValue.java","als-common/src/main/java/com/cloudera/oryx/als/common/NumericIDValue.java","L117","3","0","41","0","0","0","1","0"
"L125","OryxRecommender.java","als-common/src/main/java/com/cloudera/oryx/als/common/OryxRecommender.java","L117","1","0","67","327","1","0","12","0"
"L126","StringLongMapping.java","als-common/src/main/java/com/cloudera/oryx/als/common/StringLongMapping.java","L117","4","0","56","327","1","1","4","0"
"L127","TopN.java","als-common/src/main/java/com/cloudera/oryx/als/common/TopN.java","L117","12","0","81","327","1","0","3","0"
"L150","CandidateFilter.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/CandidateFilter.java","L149","1","0","8","327","1","0","1","0"
"L151","CandidateFilterFactory.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/CandidateFilterFactory.java","L149","4","0","33","327","1","1","2","0"
"L152","IdentityCandidateFilter.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/IdentityCandidateFilter.java","L149","1","0","18","327","1","0","1","0"
"L153","LocationSensitiveHashFilter.java","als-common/src/main/java/com/cloudera/oryx/als/common/candidate/LocationSensitiveHashFilter.java","L149","1","0","24","327","1","1","2","0"
"L463","MatrixFactorizer.java","als-common/src/main/java/com/cloudera/oryx/als/common/factorizer/MatrixFactorizer.java","L462","1","0","11","0","0","0","1","0"
"L779","LocationSensitiveHash.java","als-common/src/main/java/com/cloudera/oryx/als/common/lsh/LocationSensitiveHash.java","L778","26","0","219","327","1","0","7","0"
"L1099","ALSModelDescription.java","als-common/src/main/java/com/cloudera/oryx/als/common/pmml/ALSModelDescription.java","L1098","6","0","104","327","1","0","6","0"
"L1215","AbstractRescorerProvider.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/AbstractRescorerProvider.java","L1214","5","0","37","327","1","0","2","0"
"L1216","MultiLongPairRescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/MultiLongPairRescorer.java","L1214","5","0","31","327","1","0","1","0"
"L1217","MultiRescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/MultiRescorer.java","L1214","5","0","30","327","1","0","1","0"
"L1218","MultiRescorerProvider.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/MultiRescorerProvider.java","L1214","13","0","79","327","1","0","2","0"
"L1219","PairRescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/PairRescorer.java","L1214","1","0","5","327","1","0","1","0"
"L1220","Rescorer.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/Rescorer.java","L1214","1","0","5","327","1","0","1","0"
"L1221","RescorerProvider.java","als-common/src/main/java/com/cloudera/oryx/als/common/rescorer/RescorerProvider.java","L1214","1","0","8","327","1","0","1","0"
"L466","AlternatingLeastSquares.java","als-common/src/main/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquares.java","L465","53","0","346","327","1","2","9","0"
"L135","ByValueAscComparatorTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/ByValueAscComparatorTest.java","L134","1","0","21","0","0","0","1","0"
"L136","DataUtilsTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/DataUtilsTest.java","L134","1","0","16","0","0","0","1","0"
"L137","StringLongMappingTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/StringLongMappingTest.java","L134","1","0","49","327","1","1","2","0"
"L138","TopNTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/TopNTest.java","L134","2","0","68","327","1","0","2","0"
"L1101","ALSModelDescriptionTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/pmml/ALSModelDescriptionTest.java","L1100","1","0","19","0","0","0","1","0"
"L1223","MultiRescorerProviderTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/rescorer/MultiRescorerProviderTest.java","L1222","1","0","63","327","1","0","1","0"
"L1224","SimpleModRescorer.java","als-common/src/test/java/com/cloudera/oryx/als/common/rescorer/SimpleModRescorer.java","L1222","4","0","23","327","1","0","1","0"
"L1225","SimpleModRescorerProvider.java","als-common/src/test/java/com/cloudera/oryx/als/common/rescorer/SimpleModRescorerProvider.java","L1222","3","0","24","327","1","0","1","0"
"L469","AlternatingLeastSquaresPredictingRTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquaresPredictingRTest.java","L468","1","0","27","0","0","0","1","0"
"L470","AlternatingLeastSquaresTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/AlternatingLeastSquaresTest.java","L468","1","0","58","327","1","0","2","0"
"L471","NegativeInputTest.java","als-common/src/test/java/com/cloudera/oryx/als/common/factorizer/als/NegativeInputTest.java","L468","1","0","42","327","1","0","2","0"
"L148","LocationSensitiveHashIT.java","als-common/src/it/java/com/cloudera/oryx/als/common/candidate/LocationSensitiveHashIT.java","L147","11","0","101","327","1","0","8","0"
"L1644","AbstractComputationIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/AbstractComputationIT.java","L1643","3","0","50","0","0","0","1","0"
"L1645","AlmostTooHighLambdaIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/AlmostTooHighLambdaIT.java","L1643","1","0","15","0","0","0","1","0"
"L1646","LoadIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/LoadIT.java","L1643","1","0","27","327","1","0","2","0"
"L1647","LoadRunner.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/LoadRunner.java","L1643","18","0","165","327","1","1","5","0"
"L1648","MeanAveragePrecisionIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/MeanAveragePrecisionIT.java","L1643","3","0","29","327","1","0","3","0"
"L1649","RecsSimilarityIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/RecsSimilarityIT.java","L1643","1","0","26","327","1","0","2","0"
"L1650","RepeatedFoldInIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/RepeatedFoldInIT.java","L1643","3","0","27","327","1","0","2","0"
"L1651","SimpleIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/SimpleIT.java","L1643","9","0","311","327","1","0","4","0"
"L1652","SimpleNonnumericDataIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/SimpleNonnumericDataIT.java","L1643","8","0","275","0","0","0","1","0"
"L1653","TinyTagsIT.java","als-computation/src/it/java/com/cloudera/oryx/als/computation/TinyTagsIT.java","L1643","1","0","50","0","0","0","1","0"
"L1661","ALSDistributedGenerationRunner.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSDistributedGenerationRunner.java","L1660","30","0","260","327","1","1","13","0"
"L1662","ALSJobStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSJobStep.java","L1660","1","0","12","0","0","0","1","0"
"L1663","ALSJobStepConfig.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ALSJobStepConfig.java","L1660","1","0","36","327","1","1","3","0"
"L1664","ComputationDataUtils.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/ComputationDataUtils.java","L1660","8","0","82","327","1","0","2","0"
"L1665","IDMappingState.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/IDMappingState.java","L1660","3","0","30","327","1","0","2","0"
"L2281","CopyPreviousYFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/CopyPreviousYFn.java","L2280","1","0","15","0","0","0","1","0"
"L2282","FlagNewItemsFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/FlagNewItemsFn.java","L2280","1","0","11","0","0","0","1","0"
"L2283","InitialYReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/InitialYReduceFn.java","L2280","9","0","60","327","1","1","5","0"
"L2284","InitialYStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/initialy/InitialYStep.java","L2280","8","0","61","327","1","1","3","0"
