@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","5","0","28","0","0","0","1","false"
"L119","2","0","17","0","0","0","1","false"
"L120","7","0","34","0","0","0","1","false"
"L121","1","0","9","0","0","0","1","false"
"L122","1","0","10","0","0","0","1","false"
"L123","1","0","6","327","1","0","2","false"
"L124","3","0","41","0","0","0","1","false"
"L125","1","0","67","327","1","0","12","false"
"L126","4","0","56","327","1","1","4","false"
"L127","12","0","81","327","1","0","3","false"
"L150","1","0","8","327","1","0","1","false"
"L151","4","0","33","327","1","1","2","false"
"L152","1","0","18","327","1","0","1","false"
"L153","1","0","24","327","1","1","2","false"
"L463","1","0","11","0","0","0","1","false"
"L779","26","0","219","327","1","0","7","false"
"L1099","6","0","104","327","1","0","6","false"
"L1215","5","0","37","327","1","0","2","false"
"L1216","5","0","31","327","1","0","1","false"
"L1217","5","0","30","327","1","0","1","false"
"L1218","13","0","79","327","1","0","2","false"
"L1219","1","0","5","327","1","0","1","false"
"L1220","1","0","5","327","1","0","1","false"
"L1221","1","0","8","327","1","0","1","false"
"L466","53","0","346","327","1","2","9","false"
"L135","1","0","21","0","0","0","1","false"
"L136","1","0","16","0","0","0","1","false"
"L137","1","0","49","327","1","1","2","false"
"L138","2","0","68","327","1","0","2","false"
"L1101","1","0","19","0","0","0","1","false"
"L1223","1","0","63","327","1","0","1","false"
"L1224","4","0","23","327","1","0","1","false"
"L1225","3","0","24","327","1","0","1","false"
"L469","1","0","27","0","0","0","1","false"
"L470","1","0","58","327","1","0","2","false"
"L471","1","0","42","327","1","0","2","false"
"L148","11","0","101","327","1","0","8","false"
"L1644","3","0","50","0","0","0","1","false"
"L1645","1","0","15","0","0","0","1","false"
"L1646","1","0","27","327","1","0","2","false"
"L1647","18","0","165","327","1","1","5","false"
"L1648","3","0","29","327","1","0","3","false"
"L1649","1","0","26","327","1","0","2","false"
"L1650","3","0","27","327","1","0","2","false"
