@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","5","0","96","0","2","16","1077","false"
"L114","6","0","60","0","1","4","1077","false"
"L115","8","0","85","0","1","3","1077","false"
"L116","1","0","19","0","1","5","1077","false"
"L800","4","0","20","0","1","1","1077","false"
"L801","28","0","355","0","2","9","1077","false"
"L802","4","0","52","0","1","2","1077","false"
"L803","15","0","192","0","1","5","1077","false"
"L804","7","0","63","0","1","2","1077","false"
"L805","11","0","191","0","2","11","1077","false"
"L806","41","0","241","0","2","9","1077","false"
"L4621","19","0","201","0","1","3","1077","false"
"L4622","25","0","272","0","2","7","1077","false"
"L4623","44","0","606","5","3","28","1077","false"
"L4624","8","0","99","0","2","6","1077","false"
"L11904","1","0","30","0","1","5","1077","false"
"L11905","1","0","26","0","1","4","1077","false"
"L11906","6","0","88","0","1","4","1077","false"
"L11907","2","0","34","0","1","1","1077","false"
"L11908","7","0","105","0","1","11","1077","false"
"L11909","6","0","47","0","1","3","1077","false"
"L11910","1","0","19","0","1","1","1077","false"
"L11911","1","0","22","0","1","6","1077","false"
"L12066","2","0","38","0","2","5","1615","false"
"L12067","2","0","35","0","1","2","1077","false"
"L12068","9","0","122","0","1","1","1077","false"
"L12069","3","0","29","0","1","1","1077","false"
"L12070","9","0","75","0","1","1","1077","false"
"L813","1","0","24","0","2","15","1077","false"
"L814","1","0","30","0","2","18","1077","false"
"L815","1","0","24","0","2","12","1077","false"
"L816","1","0","18","0","2","7","1077","false"
"L817","1","0","24","0","2","9","1077","false"
"L818","1","0","18","0","2","7","1077","false"
"L1735","23","0","237","0","1","2","1077","false"
"L1736","1","0","28","0","2","7","1077","false"
"L1737","1","0","22","0","2","5","1077","false"
"L1738","1","0","23","0","1","1","1077","false"
"L1739","1","0","16","0","2","5","1077","false"
"L1740","1","0","17","0","2","7","1077","false"
"L1741","1","0","11","0","2","5","1077","false"
"L1742","1","0","22","0","2","18","1077","false"
"L1743","1","0","21","0","2","9","1077","false"
"L1744","1","0","16","0","2","5","1077","false"
"L1745","1","0","22","0","1","1","1077","false"
"L2701","1","0","15","0","2","6","1077","false"
"L2702","1","0","17","0","2","5","1077","false"
"L2703","1","0","15","0","2","4","1077","false"
"L2933","1","0","23","0","2","2","1077","false"
"L3349","2","0","17","0","1","1","1077","false"
"L4155","1","0","18","0","1","4","1077","false"
"L4156","1","0","15","0","2","5","1077","false"
"L4157","1","0","12","0","2","5","1077","false"
"L6947","10","0","131","0","1","2","1077","false"
"L6948","2","0","53","0","1","2","1077","false"
"L6949","5","0","52","0","1","1","1077","false"
"L10509","1","0","21","0","1","1","1077","false"
"L10510","1","0","22","0","2","7","1077","false"
"L10511","1","0","22","0","2","11","1077","false"
"L10512","1","0","15","0","1","1","1077","false"
"L10513","1","0","16","0","2","6","1077","false"
"L10557","1","0","8","0","2","4","1077","false"
"L10558","1","0","8","0","2","4","1077","false"
"L10559","1","0","8","0","2","4","1077","false"
"L10570","1","0","20","0","2","7","1077","false"
"L10571","1","0","20","0","2","7","1077","false"
"L10572","1","0","20","0","2","7","1077","false"
"L10573","1","0","8","0","1","1","1077","false"
"L10574","1","0","8","0","1","6","1615","false"
"L10575","1","0","15","0","1","1","1077","false"
"L10576","1","0","14","0","2","9","1077","false"
"L10611","1","0","8","0","2","4","1077","false"
"L10612","1","0","8","0","1","2","1077","false"
"L10613","1","0","8","0","1","2","1077","false"
"L10624","1","0","33","1","3","5","1615","false"
"L10631","4","0","50","0","1","1","1077","false"
"L10632","3","0","72","0","1","1","1077","false"
"L10633","11","0","146","0","3","5","731","false"
"L10634","1","0","11","0","1","1","1077","false"
