"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L114","BerkeleyJeStorageSetup.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/BerkeleyJeStorageSetup.java","L113","1","0","21","0","1","2","1077","0"
"L4699","BerkeleyJEBlueprintsTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/blueprints/BerkeleyJEBlueprintsTest.java","L4698","5","0","62","0","1","2","1077","0"
"L179","BerkeleyDBjeKeyColumnValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyDBjeKeyColumnValueTest.java","L178","1","0","14","0","1","1","1077","0"
"L180","BerkeleyDBjeKeyColumnValueVariableTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyDBjeKeyColumnValueVariableTest.java","L178","1","0","14","0","1","1","1077","0"
"L181","BerkeleyJeHashKeyColumnValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJeHashKeyColumnValueTest.java","L178","1","0","14","0","1","1","1077","0"
"L182","BerkeleyJEKeyValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEKeyValueTest.java","L178","1","0","11","0","1","1","1077","0"
"L4928","BerkeleyJEGraphConcurrentTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphConcurrentTest.java","L4927","1","0","8","0","1","1","1077","0"
"L4929","BerkeleyJEGraphPerformanceTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphPerformanceTest.java","L4927","1","0","8","0","1","1","1077","0"
"L4930","BerkeleyJEGraphTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphTest.java","L4927","1","0","8","0","1","1","1077","0"
"L4931","BerkeleyJESpeedComparisonPerformanceTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJESpeedComparisonPerformanceTest.java","L4927","1","0","15","0","1","1","1077","0"
"L11994","RexsterServerClientBerkeleyJeTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/tinkerpop/rexster/RexsterServerClientBerkeleyJeTest.java","L11993","1","0","7","0","1","1","1077","0"
"L174","BerkeleyJEKeyValueStore.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEKeyValueStore.java","L173","31","0","264","0","1","2","1077","0"
"L175","BerkeleyJEStoreManager.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEStoreManager.java","L173","24","0","182","0","2","4","142","0"
"L176","BerkeleyJETx.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJETx.java","L173","9","0","62","0","1","2","1077","0"
"L122","CassandraStorageSetup.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/CassandraStorageSetup.java","L121","2","0","69","0","2","4","142","1"
"L4701","EmbeddedCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/EmbeddedCassandraBlueprintsTest.java","L4700","1","0","34","0","1","1","1077","0"
"L4702","ExternalCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/ExternalCassandraBlueprintsTest.java","L4700","1","0","38","0","1","1","1077","0"
"L4703","InternalCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/InternalCassandraBlueprintsTest.java","L4700","2","0","40","0","2","3","142","0"
"L651","CassandraProcessStarter.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/CassandraProcessStarter.java","L650","24","0","261","0","2","6","142","0"
"L4966","ExternalAstyanaxGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/ExternalAstyanaxGraphConcurrentTest.java","L4965","1","0","20","0","1","1","1077","0"
"L4967","ExternalAstyanaxGraphPerformanceTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/ExternalAstyanaxGraphPerformanceTest.java","L4965","1","0","20","0","1","1","1077","0"
"L4968","ExternalAstyanaxGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/ExternalAstyanaxGraphTest.java","L4965","1","0","20","0","1","1","1077","0"
"L4969","InternalAstyanaxGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/InternalAstyanaxGraphConcurrentTest.java","L4965","1","0","14","0","2","3","142","0"
"L4970","InternalAstyanaxGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/InternalAstyanaxGraphTest.java","L4965","1","0","14","0","2","3","142","0"
"L4997","InternalCassandraEmbeddedGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/InternalCassandraEmbeddedGraphConcurrentTest.java","L4996","1","0","8","0","1","1","1077","0"
"L4998","InternalCassandraEmbeddedGraphPerformanceTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/InternalCassandraEmbeddedGraphPerformanceTest.java","L4996","1","0","8","0","1","1","1077","0"
"L4999","InternalCassandraEmbeddedGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/InternalCassandraEmbeddedGraphTest.java","L4996","1","0","11","0","2","5","142","0"
"L5011","ExternalCassandraGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ExternalCassandraGraphConcurrentTest.java","L5010","1","0","20","0","1","1","1077","0"
"L5012","ExternalCassandraGraphPerformanceTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ExternalCassandraGraphPerformanceTest.java","L5010","1","0","20","0","1","1","1077","0"
"L5013","ExternalCassandraGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ExternalCassandraGraphTest.java","L5010","1","0","20","0","1","1","1077","0"
"L5014","InternalCassandraGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/InternalCassandraGraphConcurrentTest.java","L5010","1","0","14","0","2","3","142","0"
"L5015","InternalCassandraGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/InternalCassandraGraphTest.java","L5010","1","0","14","0","2","3","142","0"
"L11997","RexsterServerClientCassandraEmbeddedTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/tinkerpop/rexster/RexsterServerClientCassandraEmbeddedTest.java","L11996","1","0","7","0","1","1","1077","0"
"L772","ExternalAstyanaxKeyColumnValueTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/ExternalAstyanaxKeyColumnValueTest.java","L771","1","0","23","0","1","1","1077","0"
"L773","ExternalAstyanaxLockKeyColumnValueStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/ExternalAstyanaxLockKeyColumnValueStoreTest.java","L771","1","0","25","0","1","1","1077","0"
"L774","ExternalAstyanaxMultiWriteKeyColumnValueTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/ExternalAstyanaxMultiWriteKeyColumnValueTest.java","L771","1","0","23","0","1","1","1077","0"
"L775","InternalAstyanaxKeyColumnValueTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/InternalAstyanaxKeyColumnValueTest.java","L771","1","0","26","0","2","3","142","0"
"L776","InternalAstyanaxLockKeyColumnValueStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/InternalAstyanaxLockKeyColumnValueStoreTest.java","L771","1","0","19","0","2","3","142","0"
"L777","InternalAstyanaxMultiWriteKeyColumnValueTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/InternalAstyanaxMultiWriteKeyColumnValueTest.java","L771","1","0","17","0","2","3","142","0"
"L1244","InternalCassandraEmbeddedKeyColumnValueTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/InternalCassandraEmbeddedKeyColumnValueTest.java","L1243","1","0","28","0","2","10","1077","0"
"L1245","InternalCassandraEmbeddedLockKeyColumnValueStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/InternalCassandraEmbeddedLockKeyColumnValueStoreTest.java","L1243","1","0","13","0","1","1","1077","0"
"L1246","InternalCassandraEmbeddedMultiWriteKeyColumnValueStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/InternalCassandraEmbeddedMultiWriteKeyColumnValueStoreTest.java","L1243","1","0","11","0","1","1","1077","0"
"L1562","ExternalCassandraLockKeyColumnValueStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ExternalCassandraLockKeyColumnValueStoreTest.java","L1561","1","0","25","0","1","1","1077","0"
"L1563","ExternalCassandraThriftKeyColumnValueTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ExternalCassandraThriftKeyColumnValueTest.java","L1561","1","0","23","0","1","1","1077","0"
