"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L114","BerkeleyJeStorageSetup.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/BerkeleyJeStorageSetup.java","L113","1","0","27","0","2","5","1615","0"
"L9554","BerkeleyJEBlueprintsTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/blueprints/BerkeleyJEBlueprintsTest.java","L9553","5","0","63","0","1","4","1077","0"
"L202","BerkeleyDBjeKeyColumnValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyDBjeKeyColumnValueTest.java","L201","1","0","18","0","3","7","1615","0"
"L203","BerkeleyDBjeKeyColumnValueVariableTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyDBjeKeyColumnValueVariableTest.java","L201","1","0","19","0","2","5","1077","0"
"L204","BerkeleyJeHashKeyColumnValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJeHashKeyColumnValueTest.java","L201","1","0","25","0","3","10","1615","0"
"L205","BerkeleyJEKeyValueTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEKeyValueTest.java","L201","1","0","11","0","1","3","1077","0"
"L9843","BerkeleyJEGraphConcurrentTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphConcurrentTest.java","L9842","1","0","8","0","1","1","1077","0"
"L9844","BerkeleyJEGraphPerformanceMemoryTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphPerformanceMemoryTest.java","L9842","1","0","8","0","2","2","1615","0"
"L9845","BerkeleyJEGraphTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJEGraphTest.java","L9842","1","0","8","0","2","4","46","0"
"L9846","BerkeleyJESpeedComparisonPerformanceTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/BerkeleyJESpeedComparisonPerformanceTest.java","L9842","1","0","15","0","1","3","1077","0"
"L9847","ElasticSearchBerkeleyDBTest.java","titan-berkeleyje/src/test/java/com/thinkaurelius/titan/graphdb/berkeleyje/ElasticSearchBerkeleyDBTest.java","L9842","1","0","24","0","1","3","1077","0"
"L197","BerkeleyJEKeyValueStore.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEKeyValueStore.java","L196","19","0","181","0","3","12","1615","0"
"L198","BerkeleyJEStoreManager.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJEStoreManager.java","L196","16","0","151","0","4","20","1615","0"
"L199","BerkeleyJETx.java","titan-berkeleyje/src/main/java/com/thinkaurelius/titan/diskstorage/berkeleyje/BerkeleyJETx.java","L196","6","0","61","0","1","5","1077","0"
"L122","CassandraStorageSetup.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/CassandraStorageSetup.java","L121","5","0","89","1","3","24","1077","0"
"L9556","EmbeddedCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/EmbeddedCassandraBlueprintsTest.java","L9555","1","0","39","0","3","15","1077","0"
"L9557","ExternalCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/ExternalCassandraBlueprintsTest.java","L9555","1","0","42","0","3","7","142","0"
"L9558","InternalCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/InternalCassandraBlueprintsTest.java","L9555","2","0","45","0","3","13","1077","0"
"L18062","StandaloneTests.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/testcategory/StandaloneTests.java","L18061","1","0","2","0","1","2","1615","0"
"L645","AbstractCassandraKeyColumnValueStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/AbstractCassandraKeyColumnValueStoreTest.java","L644","3","0","101","0","3","9","1077","0"
"L646","CassandraProcessStarter.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/CassandraProcessStarter.java","L644","25","0","252","0","3","25","1077","0"
"L647","UUIDTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/UUIDTest.java","L644","1","0","25","0","1","2","1615","0"
"L9887","ExternalAstyanaxGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/ExternalAstyanaxGraphConcurrentTest.java","L9886","1","0","20","0","3","5","142","0"
"L9888","ExternalAstyanaxGraphPerformanceMemoryTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/ExternalAstyanaxGraphPerformanceMemoryTest.java","L9886","1","0","20","0","2","2","1615","0"
"L9889","ExternalAstyanaxGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/ExternalAstyanaxGraphTest.java","L9886","1","0","20","0","3","5","142","0"
"L9890","InternalAstyanaxGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/InternalAstyanaxGraphConcurrentTest.java","L9886","1","0","17","0","3","13","1077","0"
"L9891","InternalAstyanaxGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/InternalAstyanaxGraphTest.java","L9886","1","0","15","0","3","11","1077","0"
"L9930","InternalCassandraEmbeddedGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/InternalCassandraEmbeddedGraphConcurrentTest.java","L9929","1","0","11","0","3","15","1077","0"
"L9931","InternalCassandraEmbeddedGraphMemoryPerformanceTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/InternalCassandraEmbeddedGraphMemoryPerformanceTest.java","L9929","1","0","10","0","2","2","1077","0"
"L9932","InternalCassandraEmbeddedGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/InternalCassandraEmbeddedGraphTest.java","L9929","1","0","9","0","3","19","1077","0"
"L9949","ExternalCassandraGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ExternalCassandraGraphConcurrentTest.java","L9948","1","0","20","0","3","5","142","0"
"L9950","ExternalCassandraGraphPerformanceMemoryTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ExternalCassandraGraphPerformanceMemoryTest.java","L9948","1","0","20","0","2","2","1615","0"
"L9951","ExternalCassandraGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ExternalCassandraGraphTest.java","L9948","1","0","20","0","3","5","142","0"
