@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","27","0","2","5","1615","false"
"L9554","5","0","63","0","1","4","1077","false"
"L202","1","0","18","0","3","7","1615","false"
"L203","1","0","19","0","2","5","1077","false"
"L204","1","0","25","0","3","10","1615","false"
"L205","1","0","11","0","1","3","1077","false"
"L9843","1","0","8","0","1","1","1077","false"
"L9844","1","0","8","0","2","2","1615","false"
"L9845","1","0","8","0","2","4","46","false"
"L9846","1","0","15","0","1","3","1077","false"
"L9847","1","0","24","0","1","3","1077","false"
"L197","19","0","181","0","3","12","1615","false"
"L198","16","0","151","0","4","20","1615","false"
"L199","6","0","61","0","1","5","1077","false"
"L122","5","0","89","1","3","24","1077","false"
"L9556","1","0","39","0","3","15","1077","false"
"L9557","1","0","42","0","3","7","142","false"
"L9558","2","0","45","0","3","13","1077","false"
"L18062","1","0","2","0","1","2","1615","false"
"L645","3","0","101","0","3","9","1077","false"
"L646","25","0","252","0","3","25","1077","false"
"L647","1","0","25","0","1","2","1615","false"
"L9887","1","0","20","0","3","5","142","false"
"L9888","1","0","20","0","2","2","1615","false"
"L9889","1","0","20","0","3","5","142","false"
"L9890","1","0","17","0","3","13","1077","false"
"L9891","1","0","15","0","3","11","1077","false"
"L9930","1","0","11","0","3","15","1077","false"
"L9931","1","0","10","0","2","2","1077","false"
"L9932","1","0","9","0","3","19","1077","false"
"L9949","1","0","20","0","3","5","142","false"
"L9950","1","0","20","0","2","2","1615","false"
"L9951","1","0","20","0","3","5","142","false"
"L9952","1","0","16","1","2","4","1077","false"
"L9953","1","0","17","0","3","13","1077","false"
"L9954","3","0","38","0","2","5","1077","false"
"L9955","1","0","15","0","3","11","1077","false"
"L809","1","0","23","0","3","5","142","false"
"L810","1","0","25","0","3","5","142","false"
"L811","1","0","23","0","3","5","142","false"
"L812","1","0","22","0","3","18","1077","false"
"L813","1","0","20","0","3","11","1077","false"
"L814","1","0","20","0","3","11","1077","false"
"L1552","1","0","34","0","3","29","1077","false"
"L1553","1","0","14","0","3","14","1077","false"
"L1554","1","0","14","0","3","14","1077","false"
"L1861","1","0","25","0","3","5","142","false"
"L1862","1","0","23","0","3","5","142","false"
"L1863","1","0","23","0","3","5","142","false"
"L1864","1","0","20","0","3","11","1077","false"
"L1865","1","0","22","0","3","14","1077","false"
"L1866","1","0","20","0","3","11","1077","false"
"L641","10","0","134","0","3","44","1077","false"
"L642","17","0","83","0","3","9","1077","false"
"L806","23","0","285","0","3","39","1615","false"
"L807","39","0","381","0","3","55","1077","false"
"L1549","62","0","410","0","3","37","1615","false"
"L1550","38","0","303","0","3","47","1077","false"
"L1858","41","0","440","0","3","45","1615","false"
"L1859","81","0","620","0","3","55","1615","false"
"L2509","4","0","30","0","1","1","1615","false"
"L2510","2","0","16","0","3","3","1615","false"
"L1276","1","0","23","0","3","5","1077","false"
"L1277","5","0","91","0","3","9","1077","false"
"L2357","3","0","33","0","3","9","142","false"
"L2358","21","0","215","0","3","10","142","false"
"L2359","3","0","24","0","3","10","142","false"
