@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L12537","0","0","0","0","0","0","0","0","0","0","0","4","4","12","13","4","8","0","0","0","0","0","5","0","0","1","1","0","0","1","18","24","0","11","0","4","4","0","4","0","14","4","0","14","0","18","24","0","11","0","4","4","0","4","0","14","4","0","14","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L24882","0","0","0","0","0","0","0","0","3","2","2","20","5","39","72","5","19","0","0.0537634","5","4","0","12","0.0537634","5","0","0","0","0","0","88","116","5","11","5","11","14","4","11","0","14","41","4","11","0","88","116","5","11","5","11","14","4","11","0","14","41","4","11","0","0","0","36","1","2","0","0","0","0","0","0","1","0","0","0","0","0","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","1","0","0","0","0","false"
"L27598","0","0","0","0","0","0","0","0","1","2","2","11","6","13","26","5","9","0","0.115789","11","3","0","4","0.0988372","17","0","0","0","0","0","84","118","5","2","5","2","4","0","3","0","4","43","0","3","0","155","205","8","2","8","2","9","0","6","0","9","75","0","6","0","0","0","27","5","19","0","0","7","0","0","0","0","0","0","0","0","0","6","27","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","1","0","0","4","0","0","0","0","false"
"L12538","0","0","0","0","0","0","0","0","2","1","1","16","9","9","11","7","17","0.0909091","0.0425532","2","1","1","10","0.0425532","2","0","0","1","1","0","45","59","0","7","0","7","10","0","10","0","10","25","0","10","0","45","59","0","7","0","7","10","0","10","0","10","25","0","10","0","0","0","25","1","10","0","0","8","0","0","0","1","0","0","0","0","0","2","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","false"
"L27805","0","0","0","0","0","0","0","0","4","1","1","8","9","0","0","7","11","0.333333","0.137255","7","4","1","2","0.0898876","8","0","0","0","0","0","44","67","0","0","0","0","4","0","2","0","4","40","0","2","0","81","112","4","0","4","0","9","0","6","0","9","54","0","6","0","0","1","33","12","12","0","0","3","0","0","0","1","0","0","0","0","0","1","32","0","0","0","0","1","0","0","8","0","0","0","0","0","0","1","1","0","0","1","0","2","7","0","false"
"L27856","0","0","0","0","0","0","0","0","1","3","3","20","5","2","0","9","12","0.5","0.038961","3","3","1","1","0.0215054","4","0","0","0","0","0","74","86","6","0","6","0","3","0","1","0","3","69","0","1","0","182","218","16","11","16","9","26","0","17","1","32","100","0","21","1","0","0","88","2","20","0","0","7","0","0","0","0","0","0","4","0","0","5","85","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","3","0","0","0","2","0","false"
"L2813","0.0249653","1","6","1","0.0178862","0.0254042","11","11","2","3","3","63","41","14","17","42","66","0.35","0.189066","83","57","7","13","0.164093","85","1","1","0","0","1","356","529","45","17","45","17","24","16","19","0","24","183","16","19","0","433","615","45","17","45","17","31","16","26","0","31","203","16","26","0","0","9","108","2","13","0","0","7","0","8","0","3","0","0","0","2","0","16","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","0","0","0","0","0","false"
"L3171","0.128937","3","9","9","0.143258","0.184739","51","46","1","3","3","36","24","13","13","23","46","0.304348","0.285047","61","60","7","16","0.198718","62","2","2","0","0","2","153","248","14","3","13","3","23","3","22","0","23","71","4","22","0","250","356","19","3","18","3","41","3","39","0","41","101","4","39","0","0","0","210","10","21","0","0","6","0","87","0","8","0","0","6","1","0","8","102","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","11","1","0","8","0","0","false"
"L5290","0","0","0","0","0","0","0","0","1","3","3","29","0","15","26","0","11","0.75","0.435185","47","47","9","3","0.435185","47","0","0","3","3","0","61","119","2","3","2","3","11","0","11","0","11","40","0","11","0","61","119","2","3","2","3","11","0","11","0","11","40","0","11","0","0","0","7","0","16","0","0","14","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L259","0","0","0","0","0","0","0","0","0","0","0","3","1","22","66","2","5","1","0.612903","19","19","4","0","0.612903","19","1","1","1","1","1","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L256","0","0","0","0","0","0","0","0","0","0","0","3","0","162","5","0","3","1","0.612903","19","19","4","0","0.612903","19","0","0","3","5","0","12","30","1","0","1","0","3","0","3","0","3","3","0","3","0","12","30","1","0","1","0","3","0","3","0","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
